Date,KO
2024-08-01,67.95999908447266
2024-08-02,69.33000183105469
2024-08-05,68.0999984741211
2024-08-06,68.05000305175781
2024-08-07,68.45999908447266
2024-08-08,68.7300033569336
2024-08-09,68.68000030517578
2024-08-12,68.16999816894531
2024-08-13,68.45999908447266
2024-08-14,68.58000183105469
2024-08-15,68.6500015258789
2024-08-16,69.18000030517578
2024-08-19,68.9800033569336
2024-08-20,69.37999725341797
2024-08-21,69.56999969482422
2024-08-22,69.33000183105469
2024-08-23,69.79000091552734
2024-08-26,70.83999633789062
2024-08-27,71.5
2024-08-28,71.75
2024-08-29,72.05000305175781
2024-08-30,72.47000122070312
2024-09-03,73.01000213623047
2024-09-04,72.55999755859375
2024-09-05,71.16999816894531
2024-09-06,71.13999938964844
2024-09-09,71.8499984741211
2024-09-10,71.55000305175781
2024-09-11,71.08000183105469
2024-09-12,71.2300033569336
2024-09-13,71.41000366210938
2024-09-16,72.0999984741211
2024-09-17,71.80000305175781
2024-09-18,71.75
2024-09-19,70.62000274658203
2024-09-20,71.63999938964844
2024-09-23,71.7300033569336
2024-09-24,71.33000183105469
2024-09-25,71.44999694824219
2024-09-26,71.4000015258789
2024-09-27,71.79000091552734
2024-09-30,71.86000061035156
2024-10-01,71.70999908447266
2024-10-02,71.01000213623047
2024-10-03,70.5199966430664
2024-10-04,70.16999816894531
2024-10-07,69.01000213623047
2024-10-08,69.18000030517578
2024-10-09,69.56999969482422
2024-10-10,69.25
2024-10-11,69.56999969482422
2024-10-14,70.33999633789062
2024-10-15,70.33999633789062
2024-10-16,70.56999969482422
2024-10-17,69.9000015258789
2024-10-18,70.44000244140625
2024-10-21,69.44999694824219
2024-10-22,69.44999694824219
2024-10-23,68.01000213623047
2024-10-24,67.30000305175781
2024-10-25,66.91999816894531
2024-10-28,66.66999816894531
2024-10-29,65.55999755859375
2024-10-30,65.91999816894531
2024-10-31,65.30999755859375
2024-11-01,65.01000213623047
2024-11-04,65.11000061035156
2024-11-05,65.37000274658203
2024-11-06,63.70000076293945
2024-11-07,63.65999984741211
2024-11-08,63.91999816894531
2024-11-11,63.36000061035156
2024-11-12,63.20000076293945
2024-11-13,63.0
2024-11-14,62.54999923706055
2024-11-15,61.7400016784668
2024-11-18,61.86000061035156
2024-11-19,62.59000015258789
2024-11-20,62.9900016784668
2024-11-21,63.7599983215332
2024-11-22,63.91999816894531
2024-11-25,64.37999725341797
2024-11-26,64.55000305175781
2024-11-27,64.43000030517578
2024-11-29,64.08000183105469
2024-12-02,63.650001525878906
2024-12-03,63.52000045776367
2024-12-04,62.209999084472656
2024-12-05,62.91999816894531
2024-12-06,62.529998779296875
2024-12-09,62.599998474121094
2024-12-10,62.90999984741211
2024-12-11,62.63999938964844
2024-12-12,63.84000015258789
2024-12-13,63.119998931884766
2024-12-16,62.54999923706055
2024-12-17,63.400001525878906
2024-12-18,62.849998474121094
2024-12-19,62.45000076293945
2024-12-20,62.54999923706055
2024-12-23,62.380001068115234
2024-12-24,62.84000015258789
2024-12-26,62.56999969482422
2024-12-27,62.45000076293945
2024-12-30,62.029998779296875
