Date,DIS
2024-08-01,93.05000305175781
2024-08-02,89.56999969482422
2024-08-05,87.77999877929688
2024-08-06,89.97000122070312
2024-08-07,85.95999908447266
2024-08-08,85.95999908447266
2024-08-09,86.20999908447266
2024-08-12,85.94999694824219
2024-08-13,85.5999984741211
2024-08-14,86.30000305175781
2024-08-15,88.79000091552734
2024-08-16,89.30000305175781
2024-08-19,90.81999969482422
2024-08-20,89.73999786376953
2024-08-21,90.72000122070312
2024-08-22,89.91999816894531
2024-08-23,90.55999755859375
2024-08-26,91.77999877929688
2024-08-27,90.9000015258789
2024-08-28,89.48999786376953
2024-08-29,89.80999755859375
2024-08-30,90.37999725341797
2024-09-03,89.12999725341797
2024-09-04,89.25
2024-09-05,88.6500015258789
2024-09-06,87.94000244140625
2024-09-09,88.33999633789062
2024-09-10,88.4000015258789
2024-09-11,88.31999969482422
2024-09-12,89.30000305175781
2024-09-13,90.55000305175781
2024-09-16,91.8499984741211
2024-09-17,92.86000061035156
2024-09-18,93.58000183105469
2024-09-19,93.44999694824219
2024-09-20,93.75
2024-09-23,92.97000122070312
2024-09-24,93.69000244140625
2024-09-25,93.91999816894531
2024-09-26,95.19999694824219
2024-09-27,96.01000213623047
2024-09-30,96.19000244140625
2024-10-01,94.05000305175781
2024-10-02,94.1500015258789
2024-10-03,93.62999725341797
2024-10-04,95.1500015258789
2024-10-07,92.38999938964844
2024-10-08,92.51000213623047
2024-10-09,93.5999984741211
2024-10-10,92.98999786376953
2024-10-11,94.12999725341797
2024-10-14,94.97000122070312
2024-10-15,94.22000122070312
2024-10-16,96.75
2024-10-17,96.54000091552734
2024-10-18,97.27999877929688
2024-10-21,96.62000274658203
2024-10-22,96.73999786376953
2024-10-23,96.23999786376953
2024-10-24,95.4000015258789
2024-10-25,95.02999877929688
2024-10-28,96.19999694824219
2024-10-29,96.12999725341797
2024-10-30,95.08000183105469
2024-10-31,96.19999694824219
2024-11-01,95.80999755859375
2024-11-04,95.79000091552734
2024-11-05,96.62999725341797
2024-11-06,98.88999938964844
2024-11-07,98.93000030517578
2024-11-08,99.0199966430664
2024-11-11,100.86000061035156
2024-11-12,100.98999786376953
2024-11-13,102.72000122070312
2024-11-14,109.12000274658203
2024-11-15,115.08000183105469
2024-11-18,113.54000091552734
2024-11-19,112.41999816894531
2024-11-20,114.26000213623047
2024-11-21,114.72000122070312
2024-11-22,115.6500015258789
2024-11-25,116.0
2024-11-26,115.44999694824219
2024-11-27,117.5999984741211
2024-11-29,117.47000122070312
2024-12-02,117.16000366210938
2024-12-03,116.44999694824219
2024-12-04,116.98999786376953
2024-12-05,116.5
2024-12-06,116.7300033569336
2024-12-09,114.61000061035156
2024-12-10,114.7300033569336
2024-12-11,114.61000061035156
2024-12-12,114.9000015258789
2024-12-13,113.33999633789062
2024-12-16,112.11000061035156
2024-12-17,113.0199966430664
2024-12-18,111.3499984741211
2024-12-19,111.37000274658203
2024-12-20,112.02999877929688
2024-12-23,111.4000015258789
2024-12-24,112.55999755859375
2024-12-26,112.55000305175781
2024-12-27,111.55000305175781
2024-12-30,110.80000305175781
