Date,NKE
2024-08-01,73.8499984741211
2024-08-02,74.01000213623047
2024-08-05,71.41999816894531
2024-08-06,72.5
2024-08-07,72.62000274658203
2024-08-08,74.19000244140625
2024-08-09,74.33999633789062
2024-08-12,74.63999938964844
2024-08-13,78.5
2024-08-14,78.5199966430664
2024-08-15,82.5
2024-08-16,83.2300033569336
2024-08-19,83.27999877929688
2024-08-20,83.55999755859375
2024-08-21,84.0
2024-08-22,83.41000366210938
2024-08-23,84.05000305175781
2024-08-26,84.27999877929688
2024-08-27,85.29000091552734
2024-08-28,82.79000091552734
2024-08-29,83.26000213623047
2024-08-30,83.31999969482422
2024-09-03,81.31999969482422
2024-09-04,81.0199966430664
2024-09-05,80.83000183105469
2024-09-06,80.62999725341797
2024-09-09,79.48999786376953
2024-09-10,78.08999633789062
2024-09-11,78.4000015258789
2024-09-12,78.4000015258789
2024-09-13,79.01000213623047
2024-09-16,79.80000305175781
2024-09-17,80.63999938964844
2024-09-18,80.9000015258789
2024-09-19,80.9800033569336
2024-09-20,86.5199966430664
2024-09-23,86.19999694824219
2024-09-24,87.45999908447266
2024-09-25,88.0
2024-09-26,89.38999938964844
2024-09-27,89.44000244140625
2024-09-30,88.4000015258789
2024-10-01,89.12999725341797
2024-10-02,83.0999984741211
2024-10-03,82.0999984741211
2024-10-04,82.25
2024-10-07,80.83000183105469
2024-10-08,80.7699966430664
2024-10-09,82.44999694824219
2024-10-10,82.0999984741211
2024-10-11,82.1500015258789
2024-10-14,81.5999984741211
2024-10-15,82.12000274658203
2024-10-16,83.94000244140625
2024-10-17,83.4000015258789
2024-10-18,82.91999816894531
2024-10-21,81.4800033569336
2024-10-22,81.41999816894531
2024-10-23,80.05000305175781
2024-10-24,79.04000091552734
2024-10-25,78.8499984741211
2024-10-28,78.91000366210938
2024-10-29,78.4000015258789
2024-10-30,76.44999694824219
2024-10-31,77.12999725341797
2024-11-01,78.05999755859375
2024-11-04,77.19000244140625
2024-11-05,77.9800033569336
2024-11-06,75.31999969482422
2024-11-07,75.91999816894531
2024-11-08,75.87999725341797
2024-11-11,76.5999984741211
2024-11-12,76.66000366210938
2024-11-13,76.5199966430664
2024-11-14,75.68000030517578
2024-11-15,76.66000366210938
2024-11-18,74.88999938964844
2024-11-19,73.91000366210938
2024-11-20,73.36000061035156
2024-11-21,75.0999984741211
2024-11-22,77.4000015258789
2024-11-25,79.26000213623047
2024-11-26,77.61000061035156
2024-11-27,78.33999633789062
2024-11-29,78.7699966430664
2024-12-02,79.08999633789062
2024-12-03,78.86000061035156
2024-12-04,78.37000274658203
2024-12-05,78.58000183105469
2024-12-06,78.88999938964844
2024-12-09,77.63999938964844
2024-12-10,76.73999786376953
2024-12-11,78.8499984741211
2024-12-12,77.95999908447266
2024-12-13,77.25
2024-12-16,77.19999694824219
2024-12-17,78.0
2024-12-18,76.9000015258789
2024-12-19,77.0999984741211
2024-12-20,76.94000244140625
2024-12-23,76.76000213623047
2024-12-24,76.79000091552734
2024-12-26,76.94000244140625
2024-12-27,76.41999816894531
2024-12-30,74.6500015258789
