Date,AMGN
2024-08-01,335.5299987792969
2024-08-02,333.989990234375
2024-08-05,325.2200012207031
2024-08-06,328.95001220703125
2024-08-07,312.5
2024-08-08,324.69000244140625
2024-08-09,322.489990234375
2024-08-12,320.0
2024-08-13,323.45001220703125
2024-08-14,322.7300109863281
2024-08-15,325.3900146484375
2024-08-16,321.44000244140625
2024-08-19,327.9700012207031
2024-08-20,328.54998779296875
2024-08-21,329.1499938964844
2024-08-22,324.5299987792969
2024-08-23,328.79998779296875
2024-08-26,326.7799987792969
2024-08-27,326.92999267578125
2024-08-28,329.489990234375
2024-08-29,331.010009765625
2024-08-30,333.8299865722656
2024-09-03,330.510009765625
2024-09-04,330.6400146484375
2024-09-05,324.3599853515625
2024-09-06,320.55999755859375
2024-09-09,325.9200134277344
2024-09-10,328.92999267578125
2024-09-11,329.9800109863281
2024-09-12,330.05999755859375
2024-09-13,332.45001220703125
2024-09-16,335.260009765625
2024-09-17,332.79998779296875
2024-09-18,332.9200134277344
2024-09-19,335.95001220703125
2024-09-20,337.3800048828125
2024-09-23,335.6099853515625
2024-09-24,330.9200134277344
2024-09-25,312.8599853515625
2024-09-26,319.1000061035156
2024-09-27,322.6700134277344
2024-09-30,322.2099914550781
2024-10-01,320.32000732421875
2024-10-02,319.7300109863281
2024-10-03,317.4800109863281
2024-10-04,319.6600036621094
2024-10-07,317.45001220703125
2024-10-08,317.67999267578125
2024-10-09,322.4100036621094
2024-10-10,321.010009765625
2024-10-11,328.3500061035156
2024-10-14,324.6199951171875
2024-10-15,325.0899963378906
2024-10-16,321.6300048828125
2024-10-17,321.3299865722656
2024-10-18,321.6600036621094
2024-10-21,316.739990234375
2024-10-22,319.6600036621094
2024-10-23,314.8999938964844
2024-10-24,315.69000244140625
2024-10-25,316.9800109863281
2024-10-28,317.1700134277344
2024-10-29,316.0
2024-10-30,315.5400085449219
2024-10-31,320.1600036621094
2024-11-01,319.2200012207031
2024-11-04,316.9100036621094
2024-11-05,319.2900085449219
2024-11-06,321.7900085449219
2024-11-07,321.9100036621094
2024-11-08,325.2799987792969
2024-11-11,321.80999755859375
2024-11-12,298.8399963378906
2024-11-13,301.44000244140625
2024-11-14,295.92999267578125
2024-11-15,283.6099853515625
2024-11-18,278.760009765625
2024-11-19,279.95001220703125
2024-11-20,287.8699951171875
2024-11-21,289.8999938964844
2024-11-22,294.5299987792969
2024-11-25,294.0
2024-11-26,280.010009765625
2024-11-27,280.07000732421875
2024-11-29,282.8699951171875
2024-12-02,278.1000061035156
2024-12-03,278.32000732421875
2024-12-04,278.260009765625
2024-12-05,274.3299865722656
2024-12-06,272.5799865722656
2024-12-09,277.6300048828125
2024-12-10,275.75
2024-12-11,273.4100036621094
2024-12-12,274.05999755859375
2024-12-13,270.6199951171875
2024-12-16,266.5
2024-12-17,265.95001220703125
2024-12-18,258.7799987792969
2024-12-19,261.19000244140625
2024-12-20,263.3800048828125
2024-12-23,264.0
2024-12-24,264.489990234375
2024-12-26,263.17999267578125
2024-12-27,262.6499938964844
2024-12-30,259.29998779296875
