Date,MMM
2024-08-01,126.47000122070312
2024-08-02,125.23999786376953
2024-08-05,124.61000061035156
2024-08-06,124.88999938964844
2024-08-07,122.83000183105469
2024-08-08,125.12999725341797
2024-08-09,124.16999816894531
2024-08-12,123.36000061035156
2024-08-13,125.3499984741211
2024-08-14,126.16999816894531
2024-08-15,127.16000366210938
2024-08-16,127.05000305175781
2024-08-19,127.08000183105469
2024-08-20,127.69999694824219
2024-08-21,129.22999572753906
2024-08-22,128.60000610351562
2024-08-23,130.5500030517578
2024-08-26,131.85000610351562
2024-08-27,131.39999389648438
2024-08-28,131.61000061035156
2024-08-29,132.91000366210938
2024-08-30,134.69000244140625
2024-09-03,130.85000610351562
2024-09-04,132.14999389648438
2024-09-05,131.39999389648438
2024-09-06,128.60000610351562
2024-09-09,128.4600067138672
2024-09-10,130.08999633789062
2024-09-11,130.22999572753906
2024-09-12,132.02999877929688
2024-09-13,133.17999267578125
2024-09-16,134.61000061035156
2024-09-17,133.57000732421875
2024-09-18,133.36000061035156
2024-09-19,133.83999633789062
2024-09-20,134.77000427246094
2024-09-23,135.63999938964844
2024-09-24,137.22000122070312
2024-09-25,136.60000610351562
2024-09-26,139.44000244140625
2024-09-27,137.3000030517578
2024-09-30,136.6999969482422
2024-10-01,137.05999755859375
2024-10-02,135.42999267578125
2024-10-03,134.77999877929688
2024-10-04,135.27000427246094
2024-10-07,134.85000610351562
2024-10-08,134.69000244140625
2024-10-09,135.00999450683594
2024-10-10,133.4600067138672
2024-10-11,134.75
2024-10-14,135.75999450683594
2024-10-15,135.72999572753906
2024-10-16,136.35000610351562
2024-10-17,135.67999267578125
2024-10-18,135.13999938964844
2024-10-21,134.83999633789062
2024-10-22,131.72999572753906
2024-10-23,127.91000366210938
2024-10-24,126.47000122070312
2024-10-25,124.75
2024-10-28,130.2899932861328
2024-10-29,129.27000427246094
2024-10-30,127.55999755859375
2024-10-31,128.47000122070312
2024-11-01,127.22000122070312
2024-11-04,125.8499984741211
2024-11-05,126.5199966430664
2024-11-06,133.9199981689453
2024-11-07,133.07000732421875
2024-11-08,134.33999633789062
2024-11-11,133.0
2024-11-12,130.35000610351562
2024-11-13,131.4499969482422
2024-11-14,132.32000732421875
2024-11-15,129.7899932861328
2024-11-18,130.1699981689453
2024-11-19,128.19000244140625
2024-11-20,127.83999633789062
2024-11-21,127.31999969482422
2024-11-22,128.4199981689453
2024-11-25,130.32000732421875
2024-11-26,132.9499969482422
2024-11-27,132.47999572753906
2024-11-29,133.52999877929688
2024-12-02,132.88999938964844
2024-12-03,131.14999389648438
2024-12-04,130.4499969482422
2024-12-05,133.3300018310547
2024-12-06,133.11000061035156
2024-12-09,131.49000549316406
2024-12-10,129.77000427246094
2024-12-11,129.77000427246094
2024-12-12,129.75
2024-12-13,129.9199981689453
2024-12-16,129.47000122070312
2024-12-17,128.0500030517578
2024-12-18,125.52999877929688
2024-12-19,127.12999725341797
2024-12-20,129.27999877929688
2024-12-23,128.97999572753906
2024-12-24,130.36000061035156
2024-12-26,131.17999267578125
2024-12-27,130.17999267578125
2024-12-30,129.1300048828125
