Date,AXP
2024-08-01,248.67999267578125
2024-08-02,232.27999877929688
2024-08-05,225.9199981689453
2024-08-06,231.1199951171875
2024-08-07,228.8000030517578
2024-08-08,233.5399932861328
2024-08-09,237.85000610351562
2024-08-12,237.0500030517578
2024-08-13,238.99000549316406
2024-08-14,243.75999450683594
2024-08-15,249.5
2024-08-16,251.7100067138672
2024-08-19,254.0500030517578
2024-08-20,253.0800018310547
2024-08-21,246.3000030517578
2024-08-22,247.75999450683594
2024-08-23,251.3000030517578
2024-08-26,253.8800048828125
2024-08-27,255.02999877929688
2024-08-28,257.0899963378906
2024-08-29,259.8399963378906
2024-08-30,258.6499938964844
2024-09-03,254.30999755859375
2024-09-04,251.74000549316406
2024-09-05,251.83999633789062
2024-09-06,244.05999755859375
2024-09-09,250.9199981689453
2024-09-10,245.4199981689453
2024-09-11,254.17999267578125
2024-09-12,255.14999389648438
2024-09-13,259.0
2024-09-16,261.0899963378906
2024-09-17,265.3999938964844
2024-09-18,262.17999267578125
2024-09-19,268.75
2024-09-20,268.989990234375
2024-09-23,267.29998779296875
2024-09-24,266.2099914550781
2024-09-25,266.1700134277344
2024-09-26,268.1499938964844
2024-09-27,271.05999755859375
2024-09-30,271.20001220703125
2024-10-01,268.6000061035156
2024-10-02,270.9200134277344
2024-10-03,268.5899963378906
2024-10-04,275.9700012207031
2024-10-07,273.7900085449219
2024-10-08,269.1099853515625
2024-10-09,271.4200134277344
2024-10-10,270.4700012207031
2024-10-11,276.1600036621094
2024-10-14,276.5199890136719
2024-10-15,277.30999755859375
2024-10-16,281.67999267578125
2024-10-17,285.7799987792969
2024-10-18,276.7900085449219
2024-10-21,270.739990234375
2024-10-22,272.3999938964844
2024-10-23,271.2300109863281
2024-10-24,269.9800109863281
2024-10-25,267.3500061035156
2024-10-28,271.4700012207031
2024-10-29,270.42999267578125
2024-10-30,274.0799865722656
2024-10-31,270.0799865722656
2024-11-01,272.69000244140625
2024-11-04,270.19000244140625
2024-11-05,275.94000244140625
2024-11-06,295.1600036621094
2024-11-07,286.82000732421875
2024-11-08,287.6000061035156
2024-11-11,292.9700012207031
2024-11-12,288.510009765625
2024-11-13,287.6400146484375
2024-11-14,288.29998779296875
2024-11-15,286.8699951171875
2024-11-18,285.5400085449219
2024-11-19,285.54998779296875
2024-11-20,287.7099914550781
2024-11-21,293.0
2024-11-22,301.29998779296875
2024-11-25,305.2099914550781
2024-11-26,305.57000732421875
2024-11-27,304.25
2024-11-29,304.67999267578125
2024-12-02,302.260009765625
2024-12-03,302.1099853515625
2024-12-04,302.6000061035156
2024-12-05,300.5299987792969
2024-12-06,303.989990234375
2024-12-09,296.7200012207031
2024-12-10,302.1099853515625
2024-12-11,302.3399963378906
2024-12-12,300.29998779296875
2024-12-13,302.1400146484375
2024-12-16,303.57000732421875
2024-12-17,301.3399963378906
2024-12-18,287.7799987792969
2024-12-19,293.0799865722656
2024-12-20,298.6499938964844
2024-12-23,298.79998779296875
2024-12-24,303.4599914550781
2024-12-26,303.989990234375
2024-12-27,301.04998779296875
2024-12-30,297.3299865722656
