Date,MSFT
2024-08-01,417.1099853515625
2024-08-02,408.489990234375
2024-08-05,395.1499938964844
2024-08-06,399.6099853515625
2024-08-07,398.42999267578125
2024-08-08,402.69000244140625
2024-08-09,406.0199890136719
2024-08-12,406.80999755859375
2024-08-13,414.010009765625
2024-08-14,416.8599853515625
2024-08-15,421.0299987792969
2024-08-16,418.4700012207031
2024-08-19,421.5299987792969
2024-08-20,424.79998779296875
2024-08-21,424.1400146484375
2024-08-22,415.54998779296875
2024-08-23,416.7900085449219
2024-08-26,413.489990234375
2024-08-27,413.8399963378906
2024-08-28,410.6000061035156
2024-08-29,413.1199951171875
2024-08-30,417.1400146484375
2024-09-03,409.44000244140625
2024-09-04,408.8999938964844
2024-09-05,408.3900146484375
2024-09-06,401.70001220703125
2024-09-09,405.7200012207031
2024-09-10,414.20001220703125
2024-09-11,423.0400085449219
2024-09-12,427.0
2024-09-13,430.5899963378906
2024-09-16,431.3399963378906
2024-09-17,435.1499938964844
2024-09-18,430.80999755859375
2024-09-19,438.69000244140625
2024-09-20,435.2699890136719
2024-09-23,433.510009765625
2024-09-24,429.1700134277344
2024-09-25,432.1099853515625
2024-09-26,431.30999755859375
2024-09-27,428.0199890136719
2024-09-30,430.29998779296875
2024-10-01,420.69000244140625
2024-10-02,417.1300048828125
2024-10-03,416.5400085449219
2024-10-04,416.05999755859375
2024-10-07,409.5400085449219
2024-10-08,414.7099914550781
2024-10-09,417.4599914550781
2024-10-10,415.8399963378906
2024-10-11,416.32000732421875
2024-10-14,419.1400146484375
2024-10-15,418.739990234375
2024-10-16,416.1199951171875
2024-10-17,416.7200012207031
2024-10-18,418.1600036621094
2024-10-21,418.7799987792969
2024-10-22,427.510009765625
2024-10-23,424.6000061035156
2024-10-24,424.7300109863281
2024-10-25,428.1499938964844
2024-10-28,426.5899963378906
2024-10-29,431.95001220703125
2024-10-30,432.5299987792969
2024-10-31,406.3500061035156
2024-11-01,410.3699951171875
2024-11-04,408.4599914550781
2024-11-05,411.4599914550781
2024-11-06,420.17999267578125
2024-11-07,425.42999267578125
2024-11-08,422.5400085449219
2024-11-11,418.010009765625
2024-11-12,423.0299987792969
2024-11-13,425.20001220703125
2024-11-14,426.8900146484375
2024-11-15,415.0
2024-11-18,415.760009765625
2024-11-19,417.7900085449219
2024-11-20,415.489990234375
2024-11-21,412.8699951171875
2024-11-22,417.0
2024-11-25,418.7900085449219
2024-11-26,427.989990234375
2024-11-27,422.989990234375
2024-11-29,423.4599914550781
2024-12-02,430.9800109863281
2024-12-03,431.20001220703125
2024-12-04,437.4200134277344
2024-12-05,442.6199951171875
2024-12-06,443.57000732421875
2024-12-09,446.0199890136719
2024-12-10,443.3299865722656
2024-12-11,448.989990234375
2024-12-12,449.55999755859375
2024-12-13,447.2699890136719
2024-12-16,451.5899963378906
2024-12-17,454.4599914550781
2024-12-18,437.3900146484375
2024-12-19,437.0299987792969
2024-12-20,436.6000061035156
2024-12-23,435.25
2024-12-24,439.3299865722656
2024-12-26,438.1099853515625
2024-12-27,430.5299987792969
2024-12-30,424.8299865722656
