Date,BA
2024-08-01,178.30999755859375
2024-08-02,169.9499969482422
2024-08-05,167.02999877929688
2024-08-06,165.0399932861328
2024-08-07,163.24000549316406
2024-08-08,168.8699951171875
2024-08-09,167.91000366210938
2024-08-12,164.1300048828125
2024-08-13,168.75999450683594
2024-08-14,168.5
2024-08-15,176.41000366210938
2024-08-16,179.99000549316406
2024-08-19,179.63999938964844
2024-08-20,172.10000610351562
2024-08-21,173.42999267578125
2024-08-22,172.75999450683594
2024-08-23,174.9600067138672
2024-08-26,173.47999572753906
2024-08-27,173.0500030517578
2024-08-28,170.7100067138672
2024-08-29,172.25999450683594
2024-08-30,173.74000549316406
2024-09-03,161.02000427246094
2024-09-04,163.22000122070312
2024-09-05,162.14999389648438
2024-09-06,157.6199951171875
2024-09-09,162.91000366210938
2024-09-10,160.07000732421875
2024-09-11,161.3300018310547
2024-09-12,162.77000427246094
2024-09-13,156.77000427246094
2024-09-16,155.5500030517578
2024-09-17,156.38999938964844
2024-09-18,155.11000061035156
2024-09-19,154.58999633789062
2024-09-20,153.2899932861328
2024-09-23,156.3000030517578
2024-09-24,155.80999755859375
2024-09-25,152.22000122070312
2024-09-26,154.5800018310547
2024-09-27,156.32000732421875
2024-09-30,152.0399932861328
2024-10-01,154.22000122070312
2024-10-02,152.88999938964844
2024-10-03,150.52000427246094
2024-10-04,155.0
2024-10-07,155.91000366210938
2024-10-08,154.64999389648438
2024-10-09,149.3699951171875
2024-10-10,146.6199951171875
2024-10-11,151.02000427246094
2024-10-14,148.99000549316406
2024-10-15,152.35000610351562
2024-10-16,154.89999389648438
2024-10-17,155.30999755859375
2024-10-18,155.0
2024-10-21,159.82000732421875
2024-10-22,159.8800048828125
2024-10-23,157.05999755859375
2024-10-24,155.1999969482422
2024-10-25,155.00999450683594
2024-10-28,150.69000244140625
2024-10-29,152.97999572753906
2024-10-30,154.2899932861328
2024-10-31,149.30999755859375
2024-11-01,154.58999633789062
2024-11-04,155.07000732421875
2024-11-05,151.0
2024-11-06,147.16000366210938
2024-11-07,150.97999572753906
2024-11-08,151.67999267578125
2024-11-11,148.9600067138672
2024-11-12,145.1699981689453
2024-11-13,139.97000122070312
2024-11-14,138.13999938964844
2024-11-15,140.19000244140625
2024-11-18,143.8699951171875
2024-11-19,145.60000610351562
2024-11-20,146.0800018310547
2024-11-21,143.41000366210938
2024-11-22,149.2899932861328
2024-11-25,153.10000610351562
2024-11-26,150.75999450683594
2024-11-27,152.39999389648438
2024-11-29,155.44000244140625
2024-12-02,156.5399932861328
2024-12-03,155.0
2024-12-04,158.27999877929688
2024-12-05,156.6699981689453
2024-12-06,153.92999267578125
2024-12-09,157.0399932861328
2024-12-10,164.10000610351562
2024-12-11,165.9600067138672
2024-12-12,167.75
2024-12-13,169.64999389648438
2024-12-16,173.1699981689453
2024-12-17,173.02999877929688
2024-12-18,172.6199951171875
2024-12-19,177.0399932861328
2024-12-20,177.35000610351562
2024-12-23,177.69000244140625
2024-12-24,179.33999633789062
2024-12-26,180.3800048828125
2024-12-27,180.72000122070312
2024-12-30,176.5500030517578
