Date,SHW
2024-08-01,350.3800048828125
2024-08-02,347.25
2024-08-05,339.0899963378906
2024-08-06,344.1199951171875
2024-08-07,339.7099914550781
2024-08-08,342.7099914550781
2024-08-09,345.6400146484375
2024-08-12,343.239990234375
2024-08-13,349.0799865722656
2024-08-14,352.1499938964844
2024-08-15,356.4700012207031
2024-08-16,354.3999938964844
2024-08-19,356.0
2024-08-20,355.3399963378906
2024-08-21,357.9700012207031
2024-08-22,357.9100036621094
2024-08-23,358.7300109863281
2024-08-26,360.69000244140625
2024-08-27,359.9800109863281
2024-08-28,361.70001220703125
2024-08-29,360.6099853515625
2024-08-30,369.3699951171875
2024-09-03,363.75
2024-09-04,362.70001220703125
2024-09-05,360.0799865722656
2024-09-06,360.8299865722656
2024-09-09,363.8999938964844
2024-09-10,371.8500061035156
2024-09-11,371.6000061035156
2024-09-12,373.9700012207031
2024-09-13,375.3999938964844
2024-09-16,379.05999755859375
2024-09-17,378.0
2024-09-18,375.30999755859375
2024-09-19,379.75
2024-09-20,378.5199890136719
2024-09-23,381.8699951171875
2024-09-24,381.55999755859375
2024-09-25,381.17999267578125
2024-09-26,383.92999267578125
2024-09-27,382.7300109863281
2024-09-30,381.6700134277344
2024-10-01,380.5799865722656
2024-10-02,378.1600036621094
2024-10-03,373.1000061035156
2024-10-04,371.29998779296875
2024-10-07,367.7799987792969
2024-10-08,373.3999938964844
2024-10-09,378.9599914550781
2024-10-10,376.45001220703125
2024-10-11,378.989990234375
2024-10-14,384.1600036621094
2024-10-15,388.54998779296875
2024-10-16,389.3900146484375
2024-10-17,389.0799865722656
2024-10-18,388.3599853515625
2024-10-21,381.75
2024-10-22,361.3800048828125
2024-10-23,362.7200012207031
2024-10-24,361.5899963378906
2024-10-25,359.0400085449219
2024-10-28,363.2699890136719
2024-10-29,361.6199951171875
2024-10-30,361.8900146484375
2024-10-31,358.7699890136719
2024-11-01,357.9700012207031
2024-11-04,374.3999938964844
2024-11-05,378.2099914550781
2024-11-06,380.7300109863281
2024-11-07,384.0
2024-11-08,386.6700134277344
2024-11-11,389.25
2024-11-12,383.6700134277344
2024-11-13,387.2900085449219
2024-11-14,388.4599914550781
2024-11-15,378.989990234375
2024-11-18,375.3500061035156
2024-11-19,373.5
2024-11-20,371.6600036621094
2024-11-21,383.32000732421875
2024-11-22,388.29998779296875
2024-11-25,399.7099914550781
2024-11-26,396.1400146484375
2024-11-27,393.9599914550781
2024-11-29,397.3999938964844
2024-12-02,395.5799865722656
2024-12-03,395.32000732421875
2024-12-04,392.07000732421875
2024-12-05,385.239990234375
2024-12-06,384.9599914550781
2024-12-09,376.45001220703125
2024-12-10,371.6000061035156
2024-12-11,371.94000244140625
2024-12-12,366.8500061035156
2024-12-13,364.5
2024-12-16,365.0299987792969
2024-12-17,362.7900085449219
2024-12-18,348.6600036621094
2024-12-19,342.3800048828125
2024-12-20,345.4700012207031
2024-12-23,344.8399963378906
2024-12-24,346.5199890136719
2024-12-26,345.510009765625
2024-12-27,343.2900085449219
2024-12-30,338.75
