Date,HD
2024-08-01,358.5799865722656
2024-08-02,355.42999267578125
2024-08-05,350.010009765625
2024-08-06,353.9100036621094
2024-08-07,342.3999938964844
2024-08-08,348.3399963378906
2024-08-09,348.6400146484375
2024-08-12,345.80999755859375
2024-08-13,350.07000732421875
2024-08-14,355.6600036621094
2024-08-15,360.07000732421875
2024-08-16,362.05999755859375
2024-08-19,363.07000732421875
2024-08-20,367.2699890136719
2024-08-21,370.4599914550781
2024-08-22,365.3599853515625
2024-08-23,375.5899963378906
2024-08-26,374.1099853515625
2024-08-27,373.17999267578125
2024-08-28,372.69000244140625
2024-08-29,367.05999755859375
2024-08-30,368.5
2024-09-03,364.739990234375
2024-09-04,364.6700134277344
2024-09-05,361.8500061035156
2024-09-06,360.04998779296875
2024-09-09,365.5199890136719
2024-09-10,370.8699951171875
2024-09-11,370.489990234375
2024-09-12,374.42999267578125
2024-09-13,379.989990234375
2024-09-16,382.010009765625
2024-09-17,383.239990234375
2024-09-18,384.010009765625
2024-09-19,390.3399963378906
2024-09-20,389.8599853515625
2024-09-23,391.9599914550781
2024-09-24,400.6600036621094
2024-09-25,396.92999267578125
2024-09-26,396.70001220703125
2024-09-27,399.5299987792969
2024-09-30,405.20001220703125
2024-10-01,409.04998779296875
2024-10-02,411.260009765625
2024-10-03,411.5799865722656
2024-10-04,408.3599853515625
2024-10-07,408.05999755859375
2024-10-08,414.17999267578125
2024-10-09,416.07000732421875
2024-10-10,409.9599914550781
2024-10-11,411.8999938964844
2024-10-14,415.4200134277344
2024-10-15,415.5799865722656
2024-10-16,418.6099853515625
2024-10-17,415.6000061035156
2024-10-18,415.0
2024-10-21,406.3999938964844
2024-10-22,401.8500061035156
2024-10-23,399.6400146484375
2024-10-24,402.67999267578125
2024-10-25,398.9100036621094
2024-10-28,402.8900146484375
2024-10-29,395.07000732421875
2024-10-30,392.5199890136719
2024-10-31,393.75
2024-11-01,392.5899963378906
2024-11-04,395.57000732421875
2024-11-05,400.0899963378906
2024-11-06,388.3699951171875
2024-11-07,399.44000244140625
2024-11-08,405.8999938964844
2024-11-11,408.2900085449219
2024-11-12,403.0799865722656
2024-11-13,410.19000244140625
2024-11-14,405.7200012207031
2024-11-15,408.17999267578125
2024-11-18,410.44000244140625
2024-11-19,406.79998779296875
2024-11-20,400.0
2024-11-21,410.45001220703125
2024-11-22,420.0
2024-11-25,428.6700134277344
2024-11-26,429.5199890136719
2024-11-27,427.19000244140625
2024-11-29,429.1300048828125
2024-12-02,426.9599914550781
2024-12-03,429.3500061035156
2024-12-04,427.9200134277344
2024-12-05,426.5400085449219
2024-12-06,431.3699951171875
2024-12-09,429.17999267578125
2024-12-10,422.5899963378906
2024-12-11,421.3800048828125
2024-12-12,414.4200134277344
2024-12-13,416.9800109863281
2024-12-16,410.7099914550781
2024-12-17,408.4700012207031
2024-12-18,393.82000732421875
2024-12-19,385.0199890136719
2024-12-20,392.6000061035156
2024-12-23,392.45001220703125
2024-12-24,396.1400146484375
2024-12-26,395.1400146484375
2024-12-27,392.8599853515625
2024-12-30,389.42999267578125
