Date,VZ
2024-08-01,40.849998474121094
2024-08-02,40.970001220703125
2024-08-05,39.79999923706055
2024-08-06,40.2599983215332
2024-08-07,40.279998779296875
2024-08-08,40.52000045776367
2024-08-09,40.75
2024-08-12,40.529998779296875
2024-08-13,40.779998779296875
2024-08-14,40.900001525878906
2024-08-15,40.040000915527344
2024-08-16,40.61000061035156
2024-08-19,40.7400016784668
2024-08-20,40.849998474121094
2024-08-21,41.04999923706055
2024-08-22,40.869998931884766
2024-08-23,41.209999084472656
2024-08-26,41.4900016784668
2024-08-27,41.45000076293945
2024-08-28,41.4900016784668
2024-08-29,41.25
2024-08-30,41.779998779296875
2024-09-03,42.93000030517578
2024-09-04,41.47999954223633
2024-09-05,41.310001373291016
2024-09-06,41.150001525878906
2024-09-09,42.72999954223633
2024-09-10,43.650001525878906
2024-09-11,43.79999923706055
2024-09-12,43.86000061035156
2024-09-13,44.43000030517578
2024-09-16,45.0
2024-09-17,44.08000183105469
2024-09-18,43.880001068115234
2024-09-19,43.939998626708984
2024-09-20,44.33000183105469
2024-09-23,44.2599983215332
2024-09-24,44.65999984741211
2024-09-25,44.54999923706055
2024-09-26,44.619998931884766
2024-09-27,44.88999938964844
2024-09-30,44.90999984741211
2024-10-01,45.209999084472656
2024-10-02,45.04999923706055
2024-10-03,44.52000045776367
2024-10-04,44.18000030517578
2024-10-07,43.84000015258789
2024-10-08,44.0099983215332
2024-10-09,44.11000061035156
2024-10-10,42.95000076293945
2024-10-11,43.0
2024-10-14,43.189998626708984
2024-10-15,43.7400016784668
2024-10-16,43.90999984741211
2024-10-17,43.849998474121094
2024-10-18,43.9900016784668
2024-10-21,43.70000076293945
2024-10-22,41.5
2024-10-23,42.86000061035156
2024-10-24,41.86000061035156
2024-10-25,41.380001068115234
2024-10-28,41.619998931884766
2024-10-29,41.33000183105469
2024-10-30,41.279998779296875
2024-10-31,42.130001068115234
2024-11-01,41.36000061035156
2024-11-04,41.060001373291016
2024-11-05,41.2599983215332
2024-11-06,41.15999984741211
2024-11-07,40.56999969482422
2024-11-08,40.47999954223633
2024-11-11,40.439998626708984
2024-11-12,40.400001525878906
2024-11-13,41.13999938964844
2024-11-14,40.869998931884766
2024-11-15,41.650001525878906
2024-11-18,42.25
2024-11-19,41.93000030517578
2024-11-20,42.220001220703125
2024-11-21,42.5
2024-11-22,43.150001525878906
2024-11-25,43.97999954223633
2024-11-26,44.369998931884766
2024-11-27,44.380001068115234
2024-11-29,44.34000015258789
2024-12-02,43.849998474121094
2024-12-03,43.83000183105469
2024-12-04,42.52000045776367
2024-12-05,42.54999923706055
2024-12-06,42.369998931884766
2024-12-09,42.36000061035156
2024-12-10,42.29999923706055
2024-12-11,41.9900016784668
2024-12-12,42.08000183105469
2024-12-13,42.279998779296875
2024-12-16,40.880001068115234
2024-12-17,40.779998779296875
2024-12-18,40.2400016784668
2024-12-19,39.970001220703125
2024-12-20,39.93000030517578
2024-12-23,39.939998626708984
2024-12-24,39.79999923706055
2024-12-26,39.959999084472656
2024-12-27,39.91999816894531
2024-12-30,39.599998474121094
