Date,CSCO
2024-08-01,47.38999938964844
2024-08-02,46.65999984741211
2024-08-05,44.7400016784668
2024-08-06,45.15999984741211
2024-08-07,45.119998931884766
2024-08-08,45.83000183105469
2024-08-09,45.470001220703125
2024-08-12,44.86000061035156
2024-08-13,45.369998931884766
2024-08-14,45.439998626708984
2024-08-15,48.529998779296875
2024-08-16,49.459999084472656
2024-08-19,49.97999954223633
2024-08-20,50.2400016784668
2024-08-21,50.45000076293945
2024-08-22,50.220001220703125
2024-08-23,50.7400016784668
2024-08-26,50.790000915527344
2024-08-27,50.709999084472656
2024-08-28,49.849998474121094
2024-08-29,50.38999938964844
2024-08-30,50.540000915527344
2024-09-03,50.060001373291016
2024-09-04,49.70000076293945
2024-09-05,49.130001068115234
2024-09-06,48.5
2024-09-09,48.70000076293945
2024-09-10,48.790000915527344
2024-09-11,49.11000061035156
2024-09-12,49.61000061035156
2024-09-13,49.79999923706055
2024-09-16,51.029998779296875
2024-09-17,50.61000061035156
2024-09-18,50.56999969482422
2024-09-19,51.439998626708984
2024-09-20,51.970001220703125
2024-09-23,52.189998626708984
2024-09-24,52.52000045776367
2024-09-25,52.650001525878906
2024-09-26,52.849998474121094
2024-09-27,53.02000045776367
2024-09-30,53.220001220703125
2024-10-01,52.7400016784668
2024-10-02,52.619998931884766
2024-10-03,52.43000030517578
2024-10-04,52.75
2024-10-07,52.5099983215332
2024-10-08,52.72999954223633
2024-10-09,53.560001373291016
2024-10-10,53.540000915527344
2024-10-11,54.25
2024-10-14,54.27000045776367
2024-10-15,54.08000183105469
2024-10-16,56.380001068115234
2024-10-17,56.400001525878906
2024-10-18,56.7599983215332
2024-10-21,56.59000015258789
2024-10-22,56.599998474121094
2024-10-23,56.279998779296875
2024-10-24,55.959999084472656
2024-10-25,55.7400016784668
2024-10-28,55.279998779296875
2024-10-29,55.68000030517578
2024-10-30,55.59000015258789
2024-10-31,54.77000045776367
2024-11-01,55.5
2024-11-04,55.83000183105469
2024-11-05,56.15999984741211
2024-11-06,57.869998931884766
2024-11-07,58.08000183105469
2024-11-08,58.060001373291016
2024-11-11,58.630001068115234
2024-11-12,58.709999084472656
2024-11-13,59.18000030517578
2024-11-14,57.91999816894531
2024-11-15,57.459999084472656
2024-11-18,57.310001373291016
2024-11-19,57.0099983215332
2024-11-20,57.5
2024-11-21,57.560001373291016
2024-11-22,58.54999923706055
2024-11-25,58.7400016784668
2024-11-26,59.59000015258789
2024-11-27,59.290000915527344
2024-11-29,59.209999084472656
2024-12-02,59.43000030517578
2024-12-03,59.47999954223633
2024-12-04,59.619998931884766
2024-12-05,60.02000045776367
2024-12-06,59.88999938964844
2024-12-09,58.95000076293945
2024-12-10,58.720001220703125
2024-12-11,58.59000015258789
2024-12-12,58.849998474121094
2024-12-13,58.619998931884766
2024-12-16,58.349998474121094
2024-12-17,58.52000045776367
2024-12-18,57.529998779296875
2024-12-19,57.630001068115234
2024-12-20,58.52000045776367
2024-12-23,58.97999954223633
2024-12-24,59.849998474121094
2024-12-26,59.97999954223633
2024-12-27,59.61000061035156
2024-12-30,59.189998626708984
