Date,UNH
2024-08-01,572.77001953125
2024-08-02,589.8300170898438
2024-08-05,569.9600219726562
2024-08-06,568.3499755859375
2024-08-07,566.0800170898438
2024-08-08,566.239990234375
2024-08-09,558.760009765625
2024-08-12,565.2899780273438
2024-08-13,574.239990234375
2024-08-14,579.6699829101562
2024-08-15,579.6099853515625
2024-08-16,577.6799926757812
2024-08-19,578.780029296875
2024-08-20,580.6500244140625
2024-08-21,578.0700073242188
2024-08-22,578.719970703125
2024-08-23,584.510009765625
2024-08-26,587.1300048828125
2024-08-27,587.3499755859375
2024-08-28,588.5399780273438
2024-08-29,591.5700073242188
2024-08-30,590.2000122070312
2024-09-03,598.6799926757812
2024-09-04,604.1799926757812
2024-09-05,595.489990234375
2024-09-06,596.8800048828125
2024-09-09,594.0999755859375
2024-09-10,599.030029296875
2024-09-11,589.75
2024-09-12,588.4199829101562
2024-09-13,594.3200073242188
2024-09-16,589.1400146484375
2024-09-17,577.9600219726562
2024-09-18,580.6500244140625
2024-09-19,577.0700073242188
2024-09-20,575.0
2024-09-23,573.4099731445312
2024-09-24,575.1900024414062
2024-09-25,576.3099975585938
2024-09-26,574.8099975585938
2024-09-27,581.8499755859375
2024-09-30,584.6799926757812
2024-10-01,583.2999877929688
2024-10-02,592.3099975585938
2024-10-03,592.75
2024-10-04,591.2000122070312
2024-10-07,583.5599975585938
2024-10-08,581.5800170898438
2024-10-09,591.219970703125
2024-10-10,597.7000122070312
2024-10-11,598.0499877929688
2024-10-14,605.4000244140625
2024-10-15,556.2899780273438
2024-10-16,571.3400268554688
2024-10-17,566.030029296875
2024-10-18,569.6099853515625
2024-10-21,571.469970703125
2024-10-22,569.8599853515625
2024-10-23,564.6400146484375
2024-10-24,560.8099975585938
2024-10-25,564.5599975585938
2024-10-28,565.239990234375
2024-10-29,562.1300048828125
2024-10-30,562.9600219726562
2024-10-31,564.5
2024-11-01,567.5599975585938
2024-11-04,557.77001953125
2024-11-05,567.030029296875
2024-11-06,596.6900024414062
2024-11-07,605.4500122070312
2024-11-08,615.8099975585938
2024-11-11,625.25
2024-11-12,614.6699829101562
2024-11-13,605.8699951171875
2024-11-14,593.1500244140625
2024-11-15,592.22998046875
2024-11-18,589.6500244140625
2024-11-19,577.0
2024-11-20,600.5
2024-11-21,597.489990234375
2024-11-22,590.8699951171875
2024-11-25,605.8300170898438
2024-11-26,606.7899780273438
2024-11-27,608.3800048828125
2024-11-29,610.2000122070312
2024-12-02,608.52001953125
2024-12-03,605.22998046875
2024-12-04,610.7899780273438
2024-12-05,578.969970703125
2024-12-06,549.6199951171875
2024-12-09,560.6199951171875
2024-12-10,565.1900024414062
2024-12-11,533.530029296875
2024-12-12,515.760009765625
2024-12-13,520.47998046875
2024-12-16,498.5
2024-12-17,485.5199890136719
2024-12-18,499.7200012207031
2024-12-19,489.25
2024-12-20,500.1300048828125
2024-12-23,506.3399963378906
2024-12-24,506.1000061035156
2024-12-26,511.1499938964844
2024-12-27,509.989990234375
2024-12-30,507.79998779296875
