Date,GS
2024-08-01,500.1199951171875
2024-08-02,470.6400146484375
2024-08-05,459.0199890136719
2024-08-06,470.2200012207031
2024-08-07,473.010009765625
2024-08-08,485.7699890136719
2024-08-09,490.260009765625
2024-08-12,485.5
2024-08-13,491.94000244140625
2024-08-14,498.70001220703125
2024-08-15,499.0199890136719
2024-08-16,504.260009765625
2024-08-19,504.67999267578125
2024-08-20,497.3399963378906
2024-08-21,496.4599914550781
2024-08-22,497.75
2024-08-23,509.4200134277344
2024-08-26,507.8699951171875
2024-08-27,507.260009765625
2024-08-28,503.3299865722656
2024-08-29,510.1000061035156
2024-08-30,510.25
2024-09-03,487.4599914550781
2024-09-04,490.6400146484375
2024-09-05,487.8800048828125
2024-09-06,479.6099853515625
2024-09-09,488.57000732421875
2024-09-10,467.1300048828125
2024-09-11,471.1700134277344
2024-09-12,474.05999755859375
2024-09-13,478.989990234375
2024-09-16,485.1600036621094
2024-09-17,485.3900146484375
2024-09-18,484.5799865722656
2024-09-19,503.8299865722656
2024-09-20,498.42999267578125
2024-09-23,497.4100036621094
2024-09-24,498.0199890136719
2024-09-25,491.1400146484375
2024-09-26,496.9200134277344
2024-09-27,498.510009765625
2024-09-30,495.1099853515625
2024-10-01,490.1700134277344
2024-10-02,491.989990234375
2024-10-03,486.1000061035156
2024-10-04,495.1600036621094
2024-10-07,494.6199951171875
2024-10-08,496.57000732421875
2024-10-09,505.17999267578125
2024-10-10,503.7200012207031
2024-10-11,516.2999877929688
2024-10-14,522.75
2024-10-15,522.3800048828125
2024-10-16,529.8599853515625
2024-10-17,529.0
2024-10-18,528.5
2024-10-21,517.7999877929688
2024-10-22,518.2999877929688
2024-10-23,517.2000122070312
2024-10-24,524.5
2024-10-25,512.5999755859375
2024-10-28,523.5800170898438
2024-10-29,524.280029296875
2024-10-30,524.4000244140625
2024-10-31,517.7899780273438
2024-11-01,519.3499755859375
2024-11-04,511.4700012207031
2024-11-05,526.9600219726562
2024-11-06,595.97998046875
2024-11-07,582.1699829101562
2024-11-08,589.260009765625
2024-11-11,602.3400268554688
2024-11-12,592.5900268554688
2024-11-13,594.219970703125
2024-11-14,588.6099853515625
2024-11-15,593.5399780273438
2024-11-18,587.989990234375
2024-11-19,581.3800048828125
2024-11-20,581.9299926757812
2024-11-21,596.1099853515625
2024-11-22,602.780029296875
2024-11-25,603.030029296875
2024-11-26,605.5
2024-11-27,605.4299926757812
2024-11-29,608.5700073242188
2024-12-02,601.7100219726562
2024-12-03,602.0800170898438
2024-12-04,598.7100219726562
2024-12-05,596.7999877929688
2024-12-06,599.6799926757812
2024-12-09,594.1199951171875
2024-12-10,585.030029296875
2024-12-11,592.5599975585938
2024-12-12,591.6099853515625
2024-12-13,585.47998046875
2024-12-16,586.3300170898438
2024-12-17,574.6799926757812
2024-12-18,550.25
2024-12-19,553.989990234375
2024-12-20,566.0999755859375
2024-12-23,570.780029296875
2024-12-24,582.7899780273438
2024-12-26,581.22998046875
2024-12-27,576.1799926757812
2024-12-30,573.5499877929688
