Date,HON
2024-08-01,204.5800018310547
2024-08-02,203.69000244140625
2024-08-05,199.7100067138672
2024-08-06,198.8000030517578
2024-08-07,197.9199981689453
2024-08-08,199.82000732421875
2024-08-09,198.22999572753906
2024-08-12,196.7899932861328
2024-08-13,196.72999572753906
2024-08-14,197.60000610351562
2024-08-15,198.4600067138672
2024-08-16,198.5
2024-08-19,199.0399932861328
2024-08-20,200.07000732421875
2024-08-21,201.4199981689453
2024-08-22,200.13999938964844
2024-08-23,202.47999572753906
2024-08-26,203.85000610351562
2024-08-27,206.11000061035156
2024-08-28,205.0
2024-08-29,207.50999450683594
2024-08-30,207.91000366210938
2024-09-03,204.86000061035156
2024-09-04,205.5399932861328
2024-09-05,202.97999572753906
2024-09-06,198.1300048828125
2024-09-09,201.16000366210938
2024-09-10,200.9499969482422
2024-09-11,204.0399932861328
2024-09-12,204.6699981689453
2024-09-13,204.14999389648438
2024-09-16,204.67999267578125
2024-09-17,204.24000549316406
2024-09-18,201.63999938964844
2024-09-19,203.6999969482422
2024-09-20,203.35000610351562
2024-09-23,203.77000427246094
2024-09-24,205.27000427246094
2024-09-25,206.77999877929688
2024-09-26,207.02999877929688
2024-09-27,207.6300048828125
2024-09-30,206.7100067138672
2024-10-01,206.07000732421875
2024-10-02,203.8800048828125
2024-10-03,202.8800048828125
2024-10-04,203.77999877929688
2024-10-07,203.3300018310547
2024-10-08,207.0
2024-10-09,213.6999969482422
2024-10-10,213.60000610351562
2024-10-11,215.99000549316406
2024-10-14,217.60000610351562
2024-10-15,217.27000427246094
2024-10-16,218.9600067138672
2024-10-17,219.5500030517578
2024-10-18,222.02000427246094
2024-10-21,221.5
2024-10-22,222.35000610351562
2024-10-23,220.33999633789062
2024-10-24,209.10000610351562
2024-10-25,208.0
2024-10-28,206.10000610351562
2024-10-29,205.97999572753906
2024-10-30,204.1999969482422
2024-10-31,205.67999267578125
2024-11-01,209.19000244140625
2024-11-04,207.5399932861328
2024-11-05,208.77999877929688
2024-11-06,216.39999389648438
2024-11-07,217.5
2024-11-08,219.49000549316406
2024-11-11,225.24000549316406
2024-11-12,233.91000366210938
2024-11-13,233.07000732421875
2024-11-14,230.6699981689453
2024-11-15,228.99000549316406
2024-11-18,228.85000610351562
2024-11-19,228.1999969482422
2024-11-20,226.6699981689453
2024-11-21,226.08999633789062
2024-11-22,229.11000061035156
2024-11-25,230.60000610351562
2024-11-26,230.39999389648438
2024-11-27,229.63999938964844
2024-11-29,232.92999267578125
2024-12-02,229.9499969482422
2024-12-03,226.9600067138672
2024-12-04,229.7899932861328
2024-12-05,226.2899932861328
2024-12-06,226.3800048828125
2024-12-09,225.08999633789062
2024-12-10,229.0800018310547
2024-12-11,229.05999755859375
2024-12-12,227.69000244140625
2024-12-13,227.6199951171875
2024-12-16,236.0
2024-12-17,233.1300048828125
2024-12-18,226.86000061035156
2024-12-19,226.8800048828125
2024-12-20,228.32000732421875
2024-12-23,227.13999938964844
2024-12-24,228.89999389648438
2024-12-26,231.86000061035156
2024-12-27,229.50999450683594
2024-12-30,226.60000610351562
