Date,MRK
2024-08-01,113.81999969482422
2024-08-02,115.19999694824219
2024-08-05,112.30999755859375
2024-08-06,111.1500015258789
2024-08-07,112.48999786376953
2024-08-08,113.91999816894531
2024-08-09,114.55000305175781
2024-08-12,113.4800033569336
2024-08-13,114.38999938964844
2024-08-14,113.58000183105469
2024-08-15,113.30999755859375
2024-08-16,113.66999816894531
2024-08-19,114.41999816894531
2024-08-20,115.13999938964844
2024-08-21,116.02999877929688
2024-08-22,116.55000305175781
2024-08-23,116.5999984741211
2024-08-26,116.2699966430664
2024-08-27,116.5
2024-08-28,117.4000015258789
2024-08-29,117.45999908447266
2024-08-30,118.44999694824219
2024-09-03,116.58000183105469
2024-09-04,115.80000305175781
2024-09-05,118.58999633789062
2024-09-06,117.83999633789062
2024-09-09,115.41000366210938
2024-09-10,115.33000183105469
2024-09-11,114.70999908447266
2024-09-12,115.25
2024-09-13,115.86000061035156
2024-09-16,117.95999908447266
2024-09-17,118.29000091552734
2024-09-18,118.63999938964844
2024-09-19,117.2300033569336
2024-09-20,117.16999816894531
2024-09-23,115.62999725341797
2024-09-24,114.95999908447266
2024-09-25,114.7300033569336
2024-09-26,113.08999633789062
2024-09-27,113.69000244140625
2024-09-30,113.55999755859375
2024-10-01,114.73999786376953
2024-10-02,112.08000183105469
2024-10-03,110.18000030517578
2024-10-04,109.7699966430664
2024-10-07,108.58999633789062
2024-10-08,108.5199966430664
2024-10-09,110.2699966430664
2024-10-10,109.4000015258789
2024-10-11,109.7300033569336
2024-10-14,109.69000244140625
2024-10-15,111.52999877929688
2024-10-16,110.41999816894531
2024-10-17,109.75
2024-10-18,108.69999694824219
2024-10-21,106.33999633789062
2024-10-22,106.63999938964844
2024-10-23,106.37999725341797
2024-10-24,105.87999725341797
2024-10-25,103.9800033569336
2024-10-28,104.2300033569336
2024-10-29,103.7300033569336
2024-10-30,104.83000183105469
2024-10-31,102.31999969482422
2024-11-01,101.87999725341797
2024-11-04,101.87000274658203
2024-11-05,101.6500015258789
2024-11-06,100.7300033569336
2024-11-07,101.16999816894531
2024-11-08,102.91999816894531
2024-11-11,100.7300033569336
2024-11-12,98.58000183105469
2024-11-13,98.5
2024-11-14,98.36000061035156
2024-11-15,96.30999755859375
2024-11-18,96.55999755859375
2024-11-19,96.54000091552734
2024-11-20,97.44000244140625
2024-11-21,99.86000061035156
2024-11-22,99.18000030517578
2024-11-25,101.16000366210938
2024-11-26,101.62000274658203
2024-11-27,103.12000274658203
2024-11-29,101.63999938964844
2024-12-02,100.61000061035156
2024-12-03,101.8499984741211
2024-12-04,101.37000274658203
2024-12-05,103.55000305175781
2024-12-06,103.08999633789062
2024-12-09,103.79000091552734
2024-12-10,101.0
2024-12-11,99.75
2024-12-12,101.25
2024-12-13,102.0
2024-12-16,100.05999755859375
2024-12-17,100.05999755859375
2024-12-18,98.33999633789062
2024-12-19,99.5199966430664
2024-12-20,98.05000305175781
2024-12-23,99.37000274658203
2024-12-24,99.44999694824219
2024-12-26,99.87000274658203
2024-12-27,99.69999694824219
2024-12-30,98.37000274658203
