Date,CAT
2024-08-01,331.5199890136719
2024-08-02,320.8699951171875
2024-08-05,316.79998779296875
2024-08-06,326.44000244140625
2024-08-07,325.79998779296875
2024-08-08,336.1600036621094
2024-08-09,338.260009765625
2024-08-12,336.0299987792969
2024-08-13,338.79998779296875
2024-08-14,337.5899963378906
2024-08-15,345.6400146484375
2024-08-16,343.4800109863281
2024-08-19,344.6499938964844
2024-08-20,343.29998779296875
2024-08-21,342.9700012207031
2024-08-22,342.3599853515625
2024-08-23,348.4100036621094
2024-08-26,351.1600036621094
2024-08-27,351.1199951171875
2024-08-28,348.20001220703125
2024-08-29,351.6400146484375
2024-08-30,356.1000061035156
2024-09-03,340.239990234375
2024-09-04,336.75
2024-09-05,333.55999755859375
2024-09-06,329.3599853515625
2024-09-09,334.0400085449219
2024-09-10,334.1600036621094
2024-09-11,335.0
2024-09-12,339.5799865722656
2024-09-13,345.30999755859375
2024-09-16,347.9599914550781
2024-09-17,353.69000244140625
2024-09-18,355.1199951171875
2024-09-19,373.30999755859375
2024-09-20,368.82000732421875
2024-09-23,371.1700134277344
2024-09-24,385.92999267578125
2024-09-25,378.25
2024-09-26,390.9599914550781
2024-09-27,391.0799865722656
2024-09-30,391.1199951171875
2024-10-01,392.3900146484375
2024-10-02,394.04998779296875
2024-10-03,391.0899963378906
2024-10-04,397.0899963378906
2024-10-07,398.25
2024-10-08,387.9599914550781
2024-10-09,396.19000244140625
2024-10-10,396.6400146484375
2024-10-11,402.0199890136719
2024-10-14,393.95001220703125
2024-10-15,387.989990234375
2024-10-16,393.6199951171875
2024-10-17,394.489990234375
2024-10-18,393.8599853515625
2024-10-21,390.4800109863281
2024-10-22,388.4599914550781
2024-10-23,385.7300109863281
2024-10-24,387.05999755859375
2024-10-25,385.9700012207031
2024-10-28,390.6099853515625
2024-10-29,387.510009765625
2024-10-30,379.239990234375
2024-10-31,376.20001220703125
2024-11-01,379.6300048828125
2024-11-04,376.5199890136719
2024-11-05,383.3699951171875
2024-11-06,416.8800048828125
2024-11-07,408.2099914550781
2024-11-08,393.3699951171875
2024-11-11,396.5400085449219
2024-11-12,393.010009765625
2024-11-13,387.07000732421875
2024-11-14,387.3599853515625
2024-11-15,384.07000732421875
2024-11-18,384.4599914550781
2024-11-19,382.3299865722656
2024-11-20,381.5
2024-11-21,389.5899963378906
2024-11-22,397.489990234375
2024-11-25,405.6499938964844
2024-11-26,407.8299865722656
2024-11-27,403.70001220703125
2024-11-29,406.1099853515625
2024-12-02,402.510009765625
2024-12-03,399.260009765625
2024-12-04,399.510009765625
2024-12-05,394.9800109863281
2024-12-06,395.0299987792969
2024-12-09,399.260009765625
2024-12-10,388.3900146484375
2024-12-11,388.8699951171875
2024-12-12,380.7799987792969
2024-12-13,380.510009765625
2024-12-16,378.9200134277344
2024-12-17,375.79998779296875
2024-12-18,363.8900146484375
2024-12-19,360.3699951171875
2024-12-20,366.0400085449219
2024-12-23,365.3900146484375
2024-12-24,367.57000732421875
2024-12-26,367.1199951171875
2024-12-27,364.8599853515625
2024-12-30,363.010009765625
