Date,CRM
2024-08-01,253.05999755859375
2024-08-02,243.97000122070312
2024-08-05,239.00999450683594
2024-08-06,238.4199981689453
2024-08-07,240.0399932861328
2024-08-08,249.1199951171875
2024-08-09,252.52999877929688
2024-08-12,251.30999755859375
2024-08-13,254.60000610351562
2024-08-14,255.32000732421875
2024-08-15,262.7900085449219
2024-08-16,262.9100036621094
2024-08-19,265.3800048828125
2024-08-20,261.8399963378906
2024-08-21,261.0899963378906
2024-08-22,258.5899963378906
2024-08-23,264.0
2024-08-26,265.2799987792969
2024-08-27,264.20001220703125
2024-08-28,258.8999938964844
2024-08-29,257.010009765625
2024-08-30,252.89999389648438
2024-09-03,248.05999755859375
2024-09-04,247.67999267578125
2024-09-05,246.1199951171875
2024-09-06,243.97000122070312
2024-09-09,245.75999450683594
2024-09-10,246.16000366210938
2024-09-11,249.57000732421875
2024-09-12,253.3699951171875
2024-09-13,254.57000732421875
2024-09-16,256.9100036621094
2024-09-17,255.19000244140625
2024-09-18,252.42999267578125
2024-09-19,265.989990234375
2024-09-20,266.79998779296875
2024-09-23,264.2099914550781
2024-09-24,270.44000244140625
2024-09-25,274.0899963378906
2024-09-26,275.760009765625
2024-09-27,276.6400146484375
2024-09-30,273.7099914550781
2024-10-01,270.8699951171875
2024-10-02,279.4800109863281
2024-10-03,280.9100036621094
2024-10-04,287.75
2024-10-07,284.57000732421875
2024-10-08,291.57000732421875
2024-10-09,287.9200134277344
2024-10-10,290.1700134277344
2024-10-11,288.1000061035156
2024-10-14,291.6400146484375
2024-10-15,288.3500061035156
2024-10-16,290.8599853515625
2024-10-17,291.1099853515625
2024-10-18,292.94000244140625
2024-10-21,291.2900085449219
2024-10-22,288.3299865722656
2024-10-23,284.42999267578125
2024-10-24,286.760009765625
2024-10-25,290.4599914550781
2024-10-28,293.7699890136719
2024-10-29,298.8900146484375
2024-10-30,296.3999938964844
2024-10-31,291.3699951171875
2024-11-01,294.7200012207031
2024-11-04,298.010009765625
2024-11-05,297.489990234375
2024-11-06,306.8999938964844
2024-11-07,310.7799987792969
2024-11-08,321.95001220703125
2024-11-11,341.7300109863281
2024-11-12,341.1499938964844
2024-11-13,341.7200012207031
2024-11-14,331.6499938964844
2024-11-15,325.260009765625
2024-11-18,322.25
2024-11-19,323.42999267578125
2024-11-20,325.70001220703125
2024-11-21,335.7799987792969
2024-11-22,342.0199890136719
2024-11-25,339.1099853515625
2024-11-26,343.17999267578125
2024-11-27,330.010009765625
2024-11-29,329.989990234375
2024-12-02,331.010009765625
2024-12-03,331.42999267578125
2024-12-04,367.8699951171875
2024-12-05,361.3800048828125
2024-12-06,361.989990234375
2024-12-09,351.57000732421875
2024-12-10,348.82000732421875
2024-12-11,354.8500061035156
2024-12-12,358.0299987792969
2024-12-13,354.30999755859375
2024-12-16,357.2300109863281
2024-12-17,350.9700012207031
2024-12-18,337.2300109863281
2024-12-19,336.2300109863281
2024-12-20,343.6499938964844
2024-12-23,342.8999938964844
2024-12-24,344.42999267578125
2024-12-26,341.7200012207031
2024-12-27,338.45001220703125
2024-12-30,335.739990234375
