Date,PG
2024-08-01,165.69000244140625
2024-08-02,170.0800018310547
2024-08-05,168.05999755859375
2024-08-06,168.08999633789062
2024-08-07,170.02000427246094
2024-08-08,170.8699951171875
2024-08-09,170.5399932861328
2024-08-12,166.80999755859375
2024-08-13,167.2899932861328
2024-08-14,168.8000030517578
2024-08-15,167.9199981689453
2024-08-16,167.88999938964844
2024-08-19,168.4199981689453
2024-08-20,170.41000366210938
2024-08-21,170.16000366210938
2024-08-22,170.14999389648438
2024-08-23,169.1699981689453
2024-08-26,170.35000610351562
2024-08-27,169.25
2024-08-28,169.05999755859375
2024-08-29,170.02999877929688
2024-08-30,171.5399932861328
2024-09-03,174.52000427246094
2024-09-04,175.89999389648438
2024-09-05,175.47000122070312
2024-09-06,175.58999633789062
2024-09-09,176.05999755859375
2024-09-10,177.7899932861328
2024-09-11,173.9199981689453
2024-09-12,173.47000122070312
2024-09-13,174.0800018310547
2024-09-16,177.24000549316406
2024-09-17,175.8800048828125
2024-09-18,173.9199981689453
2024-09-19,171.5399932861328
2024-09-20,174.22000122070312
2024-09-23,173.77000427246094
2024-09-24,173.24000549316406
2024-09-25,172.25999450683594
2024-09-26,173.2100067138672
2024-09-27,173.5500030517578
2024-09-30,173.1999969482422
2024-10-01,173.0399932861328
2024-10-02,171.9199981689453
2024-10-03,170.1199951171875
2024-10-04,168.8800048828125
2024-10-07,167.1199951171875
2024-10-08,168.16000366210938
2024-10-09,169.27000427246094
2024-10-10,168.9499969482422
2024-10-11,171.08999633789062
2024-10-14,172.50999450683594
2024-10-15,173.57000732421875
2024-10-16,172.3800048828125
2024-10-17,172.27999877929688
2024-10-18,171.27999877929688
2024-10-21,169.5399932861328
2024-10-22,169.6999969482422
2024-10-23,169.5800018310547
2024-10-24,169.6199951171875
2024-10-25,168.22000122070312
2024-10-28,169.3000030517578
2024-10-29,167.1699981689453
2024-10-30,166.16000366210938
2024-10-31,165.17999267578125
2024-11-01,165.10000610351562
2024-11-04,165.0800018310547
2024-11-05,165.75999450683594
2024-11-06,161.0500030517578
2024-11-07,163.41000366210938
2024-11-08,167.7100067138672
2024-11-11,166.02999877929688
2024-11-12,165.83999633789062
2024-11-13,166.5800018310547
2024-11-14,167.0800018310547
2024-11-15,169.5399932861328
2024-11-18,170.75
2024-11-19,170.75999450683594
2024-11-20,170.88999938964844
2024-11-21,172.75
2024-11-22,176.27999877929688
2024-11-25,177.38999938964844
2024-11-26,179.30999755859375
2024-11-27,179.36000061035156
2024-11-29,179.25999450683594
2024-12-02,179.6999969482422
2024-12-03,175.4199981689453
2024-12-04,175.11000061035156
2024-12-05,176.02999877929688
2024-12-06,173.82000732421875
2024-12-09,170.7899932861328
2024-12-10,172.27999877929688
2024-12-11,170.6300048828125
2024-12-12,170.85000610351562
2024-12-13,171.05999755859375
2024-12-16,171.13999938964844
2024-12-17,170.3300018310547
2024-12-18,169.0800018310547
2024-12-19,169.19000244140625
2024-12-20,168.05999755859375
2024-12-23,168.11000061035156
2024-12-24,168.94000244140625
2024-12-26,170.16000366210938
2024-12-27,169.52999877929688
2024-12-30,167.08999633789062
