Date,MCD
2024-08-01,268.75
2024-08-02,276.69000244140625
2024-08-05,268.45001220703125
2024-08-06,270.05999755859375
2024-08-07,269.3699951171875
2024-08-08,271.19000244140625
2024-08-09,267.9100036621094
2024-08-12,269.4599914550781
2024-08-13,270.30999755859375
2024-08-14,271.1499938964844
2024-08-15,274.8699951171875
2024-08-16,278.489990234375
2024-08-19,287.54998779296875
2024-08-20,285.6300048828125
2024-08-21,289.7099914550781
2024-08-22,289.2099914550781
2024-08-23,289.5199890136719
2024-08-26,288.67999267578125
2024-08-27,289.6400146484375
2024-08-28,287.04998779296875
2024-08-29,287.8599853515625
2024-08-30,288.6600036621094
2024-09-03,285.5199890136719
2024-09-04,288.0299987792969
2024-09-05,287.9700012207031
2024-09-06,289.510009765625
2024-09-09,291.2900085449219
2024-09-10,291.2699890136719
2024-09-11,290.2300109863281
2024-09-12,292.3500061035156
2024-09-13,296.5299987792969
2024-09-16,296.69000244140625
2024-09-17,293.75
2024-09-18,292.0299987792969
2024-09-19,293.8500061035156
2024-09-20,296.8299865722656
2024-09-23,299.05999755859375
2024-09-24,300.2699890136719
2024-09-25,300.4700012207031
2024-09-26,303.6499938964844
2024-09-27,303.69000244140625
2024-09-30,304.510009765625
2024-10-01,302.9800109863281
2024-10-02,303.760009765625
2024-10-03,303.45001220703125
2024-10-04,303.760009765625
2024-10-07,300.8500061035156
2024-10-08,301.8999938964844
2024-10-09,303.8299865722656
2024-10-10,304.0400085449219
2024-10-11,305.0400085449219
2024-10-14,309.8399963378906
2024-10-15,313.3399963378906
2024-10-16,312.9200134277344
2024-10-17,314.70001220703125
2024-10-18,316.55999755859375
2024-10-21,314.8900146484375
2024-10-22,314.69000244140625
2024-10-23,298.57000732421875
2024-10-24,301.5799865722656
2024-10-25,292.6099853515625
2024-10-28,296.7900085449219
2024-10-29,295.0
2024-10-30,291.5199890136719
2024-10-31,292.1099853515625
2024-11-01,295.2099914550781
2024-11-04,292.8500061035156
2024-11-05,297.32000732421875
2024-11-06,294.0
2024-11-07,294.6600036621094
2024-11-08,298.9700012207031
2024-11-11,301.5299987792969
2024-11-12,298.6499938964844
2024-11-13,297.3500061035156
2024-11-14,298.55999755859375
2024-11-15,292.6300048828125
2024-11-18,291.1000061035156
2024-11-19,290.7300109863281
2024-11-20,290.9100036621094
2024-11-21,288.4700012207031
2024-11-22,290.2799987792969
2024-11-25,296.19000244140625
2024-11-26,296.3299865722656
2024-11-27,295.0799865722656
2024-11-29,296.010009765625
2024-12-02,292.44000244140625
2024-12-03,294.5
2024-12-04,295.0899963378906
2024-12-05,299.4700012207031
2024-12-06,298.9800109863281
2024-12-09,301.3699951171875
2024-12-10,300.7099914550781
2024-12-11,296.1000061035156
2024-12-12,296.6300048828125
2024-12-13,296.6000061035156
2024-12-16,297.7099914550781
2024-12-17,296.0799865722656
2024-12-18,290.8800048828125
2024-12-19,290.2300109863281
2024-12-20,292.67999267578125
2024-12-23,291.2900085449219
2024-12-24,293.989990234375
2024-12-26,294.79998779296875
2024-12-27,293.6199951171875
2024-12-30,289.6000061035156
