Date,IBM
2024-08-01,189.66000366210938
2024-08-02,189.1199951171875
2024-08-05,183.30999755859375
2024-08-06,186.8000030517578
2024-08-07,186.8000030517578
2024-08-08,192.61000061035156
2024-08-09,191.4499969482422
2024-08-12,189.47999572753906
2024-08-13,190.99000549316406
2024-08-14,192.32000732421875
2024-08-15,193.9499969482422
2024-08-16,193.77999877929688
2024-08-19,194.72999572753906
2024-08-20,196.02999877929688
2024-08-21,197.2100067138672
2024-08-22,195.9600067138672
2024-08-23,196.10000610351562
2024-08-26,197.97999572753906
2024-08-27,198.72999572753906
2024-08-28,198.4600067138672
2024-08-29,198.89999389648438
2024-08-30,202.1300048828125
2024-09-03,201.27999877929688
2024-09-04,204.11000061035156
2024-09-05,202.58999633789062
2024-09-06,200.74000549316406
2024-09-09,203.52999877929688
2024-09-10,205.32000732421875
2024-09-11,209.88999938964844
2024-09-12,211.61000061035156
2024-09-13,214.7899932861328
2024-09-16,217.16000366210938
2024-09-17,214.1300048828125
2024-09-18,214.94000244140625
2024-09-19,213.88999938964844
2024-09-20,217.6999969482422
2024-09-23,220.5
2024-09-24,220.97000122070312
2024-09-25,221.22999572753906
2024-09-26,223.42999267578125
2024-09-27,220.83999633789062
2024-09-30,221.0800018310547
2024-10-01,219.35000610351562
2024-10-02,219.72999572753906
2024-10-03,222.72000122070312
2024-10-04,226.0
2024-10-07,227.1199951171875
2024-10-08,228.6199951171875
2024-10-09,234.3000030517578
2024-10-10,233.02000427246094
2024-10-11,233.25999450683594
2024-10-14,235.25999450683594
2024-10-15,232.9600067138672
2024-10-16,233.6699981689453
2024-10-17,232.8800048828125
2024-10-18,232.1999969482422
2024-10-21,231.75
2024-10-22,232.25
2024-10-23,232.75
2024-10-24,218.38999938964844
2024-10-25,214.6699981689453
2024-10-28,212.91000366210938
2024-10-29,210.42999267578125
2024-10-30,204.89999389648438
2024-10-31,206.72000122070312
2024-11-01,208.25
2024-11-04,206.32000732421875
2024-11-05,207.57000732421875
2024-11-06,213.60000610351562
2024-11-07,213.69000244140625
2024-11-08,213.72000122070312
2024-11-11,213.57000732421875
2024-11-12,210.86000061035156
2024-11-13,210.9199981689453
2024-11-14,208.99000549316406
2024-11-15,204.99000549316406
2024-11-18,208.08999633789062
2024-11-19,210.25
2024-11-20,214.60000610351562
2024-11-21,222.39999389648438
2024-11-22,222.97000122070312
2024-11-25,226.1300048828125
2024-11-26,228.8300018310547
2024-11-27,226.9199981689453
2024-11-29,227.41000366210938
2024-12-02,227.38999938964844
2024-12-03,229.0
2024-12-04,233.49000549316406
2024-12-05,234.75
2024-12-06,238.0399932861328
2024-12-09,230.0
2024-12-10,231.72000122070312
2024-12-11,230.1199951171875
2024-12-12,232.25999450683594
2024-12-13,230.82000732421875
2024-12-16,229.3300018310547
2024-12-17,228.97000122070312
2024-12-18,220.1699981689453
2024-12-19,223.9199981689453
2024-12-20,223.36000061035156
2024-12-23,221.92999267578125
2024-12-24,224.41000366210938
2024-12-26,224.88999938964844
2024-12-27,222.77999877929688
2024-12-30,220.25
