Date,VZ
2025-01-02,40.209999084472656
2025-01-03,40.2599983215332
2025-01-06,39.61000061035156
2025-01-07,38.91999816894531
2025-01-08,38.939998626708984
2025-01-10,37.810001373291016
2025-01-13,38.119998931884766
2025-01-14,38.279998779296875
2025-01-15,38.18000030517578
2025-01-16,38.34000015258789
2025-01-17,38.779998779296875
2025-01-21,39.02000045776367
2025-01-22,38.95000076293945
2025-01-23,39.18000030517578
2025-01-24,39.540000915527344
2025-01-27,40.63999938964844
2025-01-28,40.400001525878906
2025-01-29,40.279998779296875
2025-01-30,39.470001220703125
2025-01-31,39.38999938964844
2025-02-03,39.97999954223633
2025-02-04,39.810001373291016
2025-02-05,40.130001068115234
2025-02-06,39.939998626708984
2025-02-07,39.880001068115234
2025-02-10,39.95000076293945
2025-02-11,40.4900016784668
2025-02-12,40.529998779296875
2025-02-13,41.040000915527344
2025-02-14,40.9900016784668
2025-02-18,41.20000076293945
2025-02-19,42.0099983215332
2025-02-20,42.4900016784668
2025-02-21,42.7599983215332
2025-02-24,43.31999969482422
2025-02-25,43.709999084472656
2025-02-26,43.18000030517578
2025-02-27,43.27000045776367
2025-02-28,43.099998474121094
2025-03-03,43.869998931884766
2025-03-04,42.869998931884766
2025-03-05,42.84000015258789
2025-03-06,44.22999954223633
2025-03-07,46.060001373291016
2025-03-10,46.4900016784668
2025-03-11,43.43000030517578
2025-03-12,42.59000015258789
2025-03-13,43.709999084472656
2025-03-14,43.56999969482422
2025-03-17,43.650001525878906
2025-03-18,44.22999954223633
2025-03-19,43.939998626708984
2025-03-20,43.75
2025-03-21,43.9900016784668
2025-03-24,43.560001373291016
2025-03-25,43.4900016784668
2025-03-26,44.18000030517578
2025-03-27,44.959999084472656
2025-03-28,44.93000030517578
