Date,CVX
2025-01-02,146.7100067138672
2025-01-03,147.85000610351562
2025-01-06,147.25999450683594
2025-01-07,149.58999633789062
2025-01-08,150.3000030517578
2025-01-10,153.13999938964844
2025-01-13,155.35000610351562
2025-01-14,156.89999389648438
2025-01-15,158.3300018310547
2025-01-16,159.3800048828125
2025-01-17,161.47000122070312
2025-01-21,158.24000549316406
2025-01-22,156.41000366210938
2025-01-23,156.00999450683594
2025-01-24,155.64999389648438
2025-01-27,157.22999572753906
2025-01-28,156.2100067138672
2025-01-29,155.69000244140625
2025-01-30,156.32000732421875
2025-01-31,149.19000244140625
2025-02-03,149.33999633789062
2025-02-04,153.22000122070312
2025-02-05,152.99000549316406
2025-02-06,151.89999389648438
2025-02-07,152.6199951171875
2025-02-10,155.77000427246094
2025-02-11,157.44000244140625
2025-02-12,154.89999389648438
2025-02-13,155.8800048828125
2025-02-14,155.33999633789062
2025-02-18,156.16000366210938
2025-02-19,157.22999572753906
2025-02-20,158.7899932861328
2025-02-21,156.9199981689453
2025-02-24,157.88999938964844
2025-02-25,156.4199981689453
2025-02-26,155.13999938964844
2025-02-27,156.6699981689453
2025-02-28,158.6199951171875
2025-03-03,153.08999633789062
2025-03-04,152.0
2025-03-05,150.80999755859375
2025-03-06,152.9499969482422
2025-03-07,156.33999633789062
2025-03-10,157.57000732421875
2025-03-11,154.0800018310547
2025-03-12,152.6699981689453
2025-03-13,153.61000061035156
2025-03-14,157.02000427246094
2025-03-17,158.72000122070312
2025-03-18,160.80999755859375
2025-03-19,164.0500030517578
2025-03-20,164.77000427246094
2025-03-21,164.75
2025-03-24,165.02000427246094
2025-03-25,165.94000244140625
2025-03-26,167.97000122070312
2025-03-27,166.64999389648438
2025-03-28,166.08999633789062
