Date,JPM
2025-01-02,240.0
2025-01-03,243.27999877929688
2025-01-06,240.85000610351562
2025-01-07,243.1699981689453
2025-01-08,243.1300048828125
2025-01-10,239.8699951171875
2025-01-13,244.2100067138672
2025-01-14,247.47000122070312
2025-01-15,252.35000610351562
2025-01-16,254.27000427246094
2025-01-17,259.1600036621094
2025-01-21,263.0299987792969
2025-01-22,262.8399963378906
2025-01-23,265.95001220703125
2025-01-24,264.8399963378906
2025-01-27,265.8500061035156
2025-01-28,267.1400146484375
2025-01-29,266.5799865722656
2025-01-30,268.2300109863281
2025-01-31,267.29998779296875
2025-02-03,266.80999755859375
2025-02-04,267.94000244140625
2025-02-05,270.42999267578125
2025-02-06,276.8999938964844
2025-02-07,275.79998779296875
2025-02-10,271.0400085449219
2025-02-11,274.989990234375
2025-02-12,275.45001220703125
2025-02-13,276.32000732421875
2025-02-14,276.5899963378906
2025-02-18,279.95001220703125
2025-02-19,279.25
2025-02-20,266.79998779296875
2025-02-21,264.239990234375
2025-02-24,261.3399963378906
2025-02-25,257.3999938964844
2025-02-26,258.7900085449219
2025-02-27,259.04998779296875
2025-02-28,264.6499938964844
2025-03-03,260.6199951171875
2025-03-04,250.25
2025-03-05,251.52999877929688
2025-03-06,246.5399932861328
2025-03-07,242.27999877929688
2025-03-10,232.22000122070312
2025-03-11,229.13999938964844
2025-03-12,227.89999389648438
2025-03-13,225.19000244140625
2025-03-14,232.44000244140625
2025-03-17,233.92999267578125
2025-03-18,234.97000122070312
2025-03-19,239.11000061035156
2025-03-20,239.00999450683594
2025-03-21,241.6300048828125
2025-03-24,248.05999755859375
2025-03-25,251.1300048828125
2025-03-26,251.02999877929688
2025-03-27,248.1199951171875
2025-03-28,242.85000610351562
