Date,SHW
2025-01-02,333.1600036621094
2025-01-03,336.5400085449219
2025-01-06,337.82000732421875
2025-01-07,334.3999938964844
2025-01-08,337.5400085449219
2025-01-10,330.1600036621094
2025-01-13,336.1199951171875
2025-01-14,341.6400146484375
2025-01-15,346.92999267578125
2025-01-16,354.1700134277344
2025-01-17,353.9800109863281
2025-01-21,361.5199890136719
2025-01-22,357.739990234375
2025-01-23,361.1099853515625
2025-01-24,360.1499938964844
2025-01-27,364.1700134277344
2025-01-28,364.1700134277344
2025-01-29,360.4100036621094
2025-01-30,365.54998779296875
2025-01-31,358.1600036621094
2025-02-03,357.6400146484375
2025-02-04,357.5899963378906
2025-02-05,364.4800109863281
2025-02-06,365.2200012207031
2025-02-07,360.57000732421875
2025-02-10,359.1600036621094
2025-02-11,361.3699951171875
2025-02-12,355.5
2025-02-13,361.1300048828125
2025-02-14,356.8599853515625
2025-02-18,352.989990234375
2025-02-19,351.8500061035156
2025-02-20,350.0199890136719
2025-02-21,344.57000732421875
2025-02-24,343.8699951171875
2025-02-25,353.0299987792969
2025-02-26,359.5899963378906
2025-02-27,355.510009765625
2025-02-28,362.2699890136719
2025-03-03,356.7300109863281
2025-03-04,355.2799987792969
2025-03-05,362.32000732421875
2025-03-06,360.0799865722656
2025-03-07,363.6199951171875
2025-03-10,357.7799987792969
2025-03-11,353.0199890136719
2025-03-12,349.8299865722656
2025-03-13,342.1000061035156
2025-03-14,341.7799987792969
2025-03-17,342.25
2025-03-18,335.5299987792969
2025-03-19,334.9200134277344
2025-03-20,336.0299987792969
2025-03-21,334.4100036621094
2025-03-24,342.7099914550781
2025-03-25,341.1600036621094
2025-03-26,344.4200134277344
2025-03-27,345.6499938964844
2025-03-28,339.75
