Date,MMM
2025-01-02,129.6999969482422
2025-01-03,129.8699951171875
2025-01-06,130.2899932861328
2025-01-07,132.77000427246094
2025-01-08,134.52999877929688
2025-01-10,131.2100067138672
2025-01-13,134.60000610351562
2025-01-14,137.2100067138672
2025-01-15,137.77999877929688
2025-01-16,139.17999267578125
2025-01-17,141.02999877929688
2025-01-21,146.88999938964844
2025-01-22,149.1199951171875
2025-01-23,149.6300048828125
2025-01-24,149.42999267578125
2025-01-27,151.52000427246094
2025-01-28,151.39999389648438
2025-01-29,151.5399932861328
2025-01-30,154.39999389648438
2025-01-31,152.1999969482422
2025-02-03,150.0399932861328
2025-02-04,151.67999267578125
2025-02-05,152.4499969482422
2025-02-06,152.32000732421875
2025-02-07,149.8699951171875
2025-02-10,149.69000244140625
2025-02-11,150.07000732421875
2025-02-12,148.8699951171875
2025-02-13,148.72000122070312
2025-02-14,148.6199951171875
2025-02-18,148.99000549316406
2025-02-19,150.1999969482422
2025-02-20,149.0800018310547
2025-02-21,144.97999572753906
2025-02-24,145.47999572753906
2025-02-25,146.5399932861328
2025-02-26,147.42999267578125
2025-02-27,150.52000427246094
2025-02-28,155.1199951171875
2025-03-03,153.4199981689453
2025-03-04,145.86000061035156
2025-03-05,147.61000061035156
2025-03-06,146.94000244140625
2025-03-07,146.3000030517578
2025-03-10,147.6199951171875
2025-03-11,147.5399932861328
2025-03-12,150.24000549316406
2025-03-13,146.10000610351562
2025-03-14,150.41000366210938
2025-03-17,153.2100067138672
2025-03-18,150.9199981689453
2025-03-19,153.2100067138672
2025-03-20,151.27000427246094
2025-03-21,150.36000061035156
2025-03-24,153.14999389648438
2025-03-25,153.5
2025-03-26,152.67999267578125
2025-03-27,148.44000244140625
2025-03-28,144.83999633789062
