Date,PG
2025-01-02,165.97999572753906
2025-01-03,165.1300048828125
2025-01-06,160.60000610351562
2025-01-07,161.3000030517578
2025-01-08,162.10000610351562
2025-01-10,158.55999755859375
2025-01-13,158.83999633789062
2025-01-14,159.74000549316406
2025-01-15,159.64999389648438
2025-01-16,160.5
2025-01-17,161.1300048828125
2025-01-21,161.72000122070312
2025-01-22,164.74000549316406
2025-01-23,166.14999389648438
2025-01-24,164.1199951171875
2025-01-27,169.66000366210938
2025-01-28,166.19000244140625
2025-01-29,166.22999572753906
2025-01-30,167.41000366210938
2025-01-31,165.99000549316406
2025-02-03,168.75999450683594
2025-02-04,168.1300048828125
2025-02-05,169.00999450683594
2025-02-06,168.8800048828125
2025-02-07,167.97000122070312
2025-02-10,167.52999877929688
2025-02-11,169.42999267578125
2025-02-12,169.5800018310547
2025-02-13,171.02000427246094
2025-02-14,162.88999938964844
2025-02-18,165.42999267578125
2025-02-19,166.49000549316406
2025-02-20,167.2100067138672
2025-02-21,170.22999572753906
2025-02-24,170.5399932861328
2025-02-25,172.64999389648438
2025-02-26,171.3000030517578
2025-02-27,171.97000122070312
2025-02-28,173.83999633789062
2025-03-03,175.58999633789062
2025-03-04,173.17999267578125
2025-03-05,174.61000061035156
2025-03-06,174.66000366210938
2025-03-07,175.9499969482422
2025-03-10,176.25999450683594
2025-03-11,173.1199951171875
2025-03-12,168.3699951171875
2025-03-13,168.58999633789062
2025-03-14,167.97000122070312
2025-03-17,169.75999450683594
2025-03-18,167.7100067138672
2025-03-19,168.57000732421875
2025-03-20,167.5500030517578
2025-03-21,166.69000244140625
2025-03-24,165.64999389648438
2025-03-25,162.85000610351562
2025-03-26,166.5800018310547
2025-03-27,168.7100067138672
2025-03-28,168.02999877929688
