Date,AXP
2025-01-02,298.42999267578125
2025-01-03,303.0799865722656
2025-01-06,301.8800048828125
2025-01-07,302.0199890136719
2025-01-08,302.8500061035156
2025-01-10,293.29998779296875
2025-01-13,297.0199890136719
2025-01-14,300.3599853515625
2025-01-15,312.32000732421875
2025-01-16,311.4800109863281
2025-01-17,312.55999755859375
2025-01-21,317.95001220703125
2025-01-22,322.25
2025-01-23,325.8699951171875
2025-01-24,321.3399963378906
2025-01-27,316.4200134277344
2025-01-28,317.0400085449219
2025-01-29,315.25
2025-01-30,318.95001220703125
2025-01-31,317.45001220703125
2025-02-03,316.5299987792969
2025-02-04,315.8299865722656
2025-02-05,320.5299987792969
2025-02-06,320.1499938964844
2025-02-07,316.7699890136719
2025-02-10,310.260009765625
2025-02-11,309.57000732421875
2025-02-12,306.3999938964844
2025-02-13,307.5
2025-02-14,311.0400085449219
2025-02-18,312.8500061035156
2025-02-19,309.9200134277344
2025-02-20,303.8599853515625
2025-02-21,295.3999938964844
2025-02-24,295.5299987792969
2025-02-25,293.3399963378906
2025-02-26,296.1000061035156
2025-02-27,294.20001220703125
2025-02-28,300.9599914550781
2025-03-03,295.489990234375
2025-03-04,283.4700012207031
2025-03-05,284.17999267578125
2025-03-06,275.6400146484375
2025-03-07,273.2099914550781
2025-03-10,261.32000732421875
2025-03-11,255.38999938964844
2025-03-12,260.75
2025-03-13,256.42999267578125
2025-03-14,265.6300048828125
2025-03-17,264.3800048828125
2025-03-18,262.7200012207031
2025-03-19,270.6499938964844
2025-03-20,270.8299865722656
2025-03-21,270.510009765625
2025-03-24,277.8599853515625
2025-03-25,279.2799987792969
2025-03-26,276.0
2025-03-27,272.0199890136719
2025-03-28,265.4800109863281
