Date,CAT
2025-01-02,359.7699890136719
2025-01-03,363.7900085449219
2025-01-06,364.20001220703125
2025-01-07,363.0
2025-01-08,361.07000732421875
2025-01-10,351.0
2025-01-13,362.5
2025-01-14,371.57000732421875
2025-01-15,374.8900146484375
2025-01-16,380.54998779296875
2025-01-17,386.0199890136719
2025-01-21,398.3599853515625
2025-01-22,397.6099853515625
2025-01-23,406.3999938964844
2025-01-24,407.6300048828125
2025-01-27,394.9800109863281
2025-01-28,390.2900085449219
2025-01-29,393.2300109863281
2025-01-30,374.9800109863281
2025-01-31,371.44000244140625
2025-02-03,361.54998779296875
2025-02-04,361.95001220703125
2025-02-05,358.8500061035156
2025-02-06,365.45001220703125
2025-02-07,363.8800048828125
2025-02-10,363.2200012207031
2025-02-11,362.2300109863281
2025-02-12,352.0400085449219
2025-02-13,353.70001220703125
2025-02-14,353.32000732421875
2025-02-18,354.0
2025-02-19,353.0
2025-02-20,349.1499938964844
2025-02-21,340.0400085449219
2025-02-24,338.9200134277344
2025-02-25,342.3599853515625
2025-02-26,342.5799865722656
2025-02-27,340.0
2025-02-28,343.95001220703125
2025-03-03,332.0400085449219
2025-03-04,326.75
2025-03-05,338.489990234375
2025-03-06,341.010009765625
2025-03-07,350.29998779296875
2025-03-10,345.2099914550781
2025-03-11,339.7699890136719
2025-03-12,338.1300048828125
2025-03-13,333.30999755859375
2025-03-14,339.6400146484375
2025-03-17,342.6400146484375
2025-03-18,336.7099914550781
2025-03-19,338.6199951171875
2025-03-20,336.25
2025-03-21,335.7799987792969
2025-03-24,341.6700134277344
2025-03-25,342.6199951171875
2025-03-26,341.1099853515625
2025-03-27,339.29998779296875
2025-03-28,329.69000244140625
