Date,V
2025-01-02,314.3999938964844
2025-01-03,314.9100036621094
2025-01-06,313.0400085449219
2025-01-07,311.6700134277344
2025-01-08,312.6000061035156
2025-01-10,307.7099914550781
2025-01-13,306.9200134277344
2025-01-14,309.0899963378906
2025-01-15,316.2799987792969
2025-01-16,317.25
2025-01-17,319.6199951171875
2025-01-21,323.6300048828125
2025-01-22,323.55999755859375
2025-01-23,328.2099914550781
2025-01-24,330.20001220703125
2025-01-27,334.5400085449219
2025-01-28,334.4800109863281
2025-01-29,335.8800048828125
2025-01-30,343.04998779296875
2025-01-31,341.79998779296875
2025-02-03,345.82000732421875
2025-02-04,345.1499938964844
2025-02-05,349.44000244140625
2025-02-06,347.4800109863281
2025-02-07,348.0199890136719
2025-02-10,351.2300109863281
2025-02-11,350.7200012207031
2025-02-12,351.489990234375
2025-02-13,355.6300048828125
2025-02-14,353.80999755859375
2025-02-18,356.7300109863281
2025-02-19,355.2300109863281
2025-02-20,350.489990234375
2025-02-21,348.5299987792969
2025-02-24,349.8599853515625
2025-02-25,352.0899963378906
2025-02-26,350.6300048828125
2025-02-27,355.739990234375
2025-02-28,362.7099914550781
2025-03-03,361.82000732421875
2025-03-04,352.2300109863281
2025-03-05,352.67999267578125
2025-03-06,344.1600036621094
2025-03-07,345.32000732421875
2025-03-10,341.4800109863281
2025-03-11,332.1400146484375
2025-03-12,332.8399963378906
2025-03-13,328.54998779296875
2025-03-14,331.79998779296875
2025-03-17,334.54998779296875
2025-03-18,334.7699890136719
2025-03-19,339.8699951171875
2025-03-20,339.5
2025-03-21,335.6600036621094
2025-03-24,343.8699951171875
2025-03-25,344.6199951171875
2025-03-26,344.17999267578125
2025-03-27,349.8599853515625
2025-03-28,342.8500061035156
