Date,NKE
2025-01-02,73.66999816894531
2025-01-03,73.30999755859375
2025-01-06,72.0
2025-01-07,72.08999633789062
2025-01-08,71.29000091552734
2025-01-10,71.19999694824219
2025-01-13,72.08000183105469
2025-01-14,71.16999816894531
2025-01-15,71.06999969482422
2025-01-16,71.11000061035156
2025-01-17,70.83999633789062
2025-01-21,73.16999816894531
2025-01-22,74.04000091552734
2025-01-23,74.29000091552734
2025-01-24,73.56999969482422
2025-01-27,75.58000183105469
2025-01-28,74.38999938964844
2025-01-29,76.58000183105469
2025-01-30,78.33000183105469
2025-01-31,76.9000015258789
2025-02-03,76.58999633789062
2025-02-04,76.72000122070312
2025-02-05,74.56999969482422
2025-02-06,71.73999786376953
2025-02-07,68.68000030517578
2025-02-10,70.94000244140625
2025-02-11,71.33999633789062
2025-02-12,72.26000213623047
2025-02-13,73.20999908447266
2025-02-14,73.04000091552734
2025-02-18,77.58999633789062
2025-02-19,76.77999877929688
2025-02-20,77.2300033569336
2025-02-21,76.5
2025-02-24,80.27999877929688
2025-02-25,81.72000122070312
2025-02-26,81.16999816894531
2025-02-27,80.0199966430664
2025-02-28,79.43000030517578
2025-03-03,78.41000366210938
2025-03-04,77.31999969482422
2025-03-05,77.80999755859375
2025-03-06,77.70999908447266
2025-03-07,78.58999633789062
2025-03-10,76.4000015258789
2025-03-11,74.16999816894531
2025-03-12,73.58000183105469
2025-03-13,72.63999938964844
2025-03-14,71.66000366210938
2025-03-17,73.69999694824219
2025-03-18,73.30999755859375
2025-03-19,72.98999786376953
2025-03-20,71.86000061035156
2025-03-21,67.94000244140625
2025-03-24,67.38999938964844
2025-03-25,66.54000091552734
2025-03-26,65.73999786376953
2025-03-27,65.80000305175781
2025-03-28,63.290000915527344
