Date,TRV
2025-01-02,240.88999938964844
2025-01-03,242.2899932861328
2025-01-06,241.8800048828125
2025-01-07,241.67999267578125
2025-01-08,242.77000427246094
2025-01-10,232.42999267578125
2025-01-13,233.3300018310547
2025-01-14,236.92999267578125
2025-01-15,239.97999572753906
2025-01-16,242.3699951171875
2025-01-17,239.52000427246094
2025-01-21,239.16000366210938
2025-01-22,246.72000122070312
2025-01-23,241.50999450683594
2025-01-24,241.86000061035156
2025-01-27,251.00999450683594
2025-01-28,248.42999267578125
2025-01-29,249.52000427246094
2025-01-30,249.08999633789062
2025-01-31,245.17999267578125
2025-02-03,244.60000610351562
2025-02-04,244.05999755859375
2025-02-05,246.33999633789062
2025-02-06,247.63999938964844
2025-02-07,245.19000244140625
2025-02-10,242.4199981689453
2025-02-11,242.35000610351562
2025-02-12,240.66000366210938
2025-02-13,243.00999450683594
2025-02-14,238.3000030517578
2025-02-18,238.39999389648438
2025-02-19,242.35000610351562
2025-02-20,241.24000549316406
2025-02-21,240.02999877929688
2025-02-24,248.24000549316406
2025-02-25,252.50999450683594
2025-02-26,248.85000610351562
2025-02-27,254.7899932861328
2025-02-28,258.489990234375
2025-03-03,260.8399963378906
2025-03-04,255.6999969482422
2025-03-05,258.0299987792969
2025-03-06,256.0199890136719
2025-03-07,257.70001220703125
2025-03-10,256.6099853515625
2025-03-11,254.55999755859375
2025-03-12,251.99000549316406
2025-03-13,255.94000244140625
2025-03-14,260.9100036621094
2025-03-17,265.1300048828125
2025-03-18,260.5
2025-03-19,261.32000732421875
2025-03-20,259.5400085449219
2025-03-21,256.70001220703125
2025-03-24,259.44000244140625
2025-03-25,259.45001220703125
2025-03-26,262.260009765625
2025-03-27,262.67999267578125
2025-03-28,261.7900085449219
