Date,JNJ
2025-01-02,144.02000427246094
2025-01-03,144.19000244140625
2025-01-06,143.66000366210938
2025-01-07,146.22999572753906
2025-01-08,142.27000427246094
2025-01-10,142.05999755859375
2025-01-13,144.47000122070312
2025-01-14,144.75
2025-01-15,144.97000122070312
2025-01-16,147.77000427246094
2025-01-17,147.02999877929688
2025-01-21,148.14999389648438
2025-01-22,145.27000427246094
2025-01-23,146.63999938964844
2025-01-24,146.82000732421875
2025-01-27,152.88999938964844
2025-01-28,150.3800048828125
2025-01-29,151.14999389648438
2025-01-30,152.8699951171875
2025-01-31,152.14999389648438
2025-02-03,151.8699951171875
2025-02-04,153.49000549316406
2025-02-05,154.69000244140625
2025-02-06,153.50999450683594
2025-02-07,153.1199951171875
2025-02-10,154.24000549316406
2025-02-11,156.1300048828125
2025-02-12,155.25999450683594
2025-02-13,157.25
2025-02-14,156.14999389648438
2025-02-18,154.99000549316406
2025-02-19,157.88999938964844
2025-02-20,159.67999267578125
2025-02-21,162.3000030517578
2025-02-24,163.74000549316406
2025-02-25,166.08999633789062
2025-02-26,163.0800018310547
2025-02-27,163.72999572753906
2025-02-28,165.02000427246094
2025-03-03,167.27999877929688
2025-03-04,165.4199981689453
2025-03-05,165.1199951171875
2025-03-06,165.8300018310547
2025-03-07,166.69000244140625
2025-03-10,167.6999969482422
2025-03-11,165.86000061035156
2025-03-12,162.85000610351562
2025-03-13,162.99000549316406
2025-03-14,162.80999755859375
2025-03-17,162.83999633789062
2025-03-18,164.25
2025-03-19,162.99000549316406
2025-03-20,163.02000427246094
2025-03-21,163.6300048828125
2025-03-24,163.2899932861328
2025-03-25,161.02000427246094
2025-03-26,161.72000122070312
2025-03-27,163.1300048828125
2025-03-28,163.7100067138672
