Date,CRM
2025-01-02,330.6600036621094
2025-01-03,332.8999938964844
2025-01-06,330.5299987792969
2025-01-07,324.92999267578125
2025-01-08,326.8999938964844
2025-01-10,317.8500061035156
2025-01-13,319.07000732421875
2025-01-14,323.5400085449219
2025-01-15,321.1600036621094
2025-01-16,320.0
2025-01-17,324.55999755859375
2025-01-21,326.8399963378906
2025-01-22,332.6199951171875
2025-01-23,334.6600036621094
2025-01-24,333.8800048828125
2025-01-27,347.1000061035156
2025-01-28,359.95001220703125
2025-01-29,354.0
2025-01-30,343.57000732421875
2025-01-31,341.70001220703125
2025-02-03,339.239990234375
2025-02-04,344.1400146484375
2025-02-05,347.92999267578125
2025-02-06,330.80999755859375
2025-02-07,325.8299865722656
2025-02-10,327.20001220703125
2025-02-11,324.3999938964844
2025-02-12,326.1199951171875
2025-02-13,329.8500061035156
2025-02-14,326.5400085449219
2025-02-18,328.9599914550781
2025-02-19,324.5299987792969
2025-02-20,318.42999267578125
2025-02-21,309.79998779296875
2025-02-24,308.32000732421875
2025-02-25,305.8800048828125
2025-02-26,307.3299865722656
2025-02-27,294.8999938964844
2025-02-28,297.8500061035156
2025-03-03,293.05999755859375
2025-03-04,287.3399963378906
2025-03-05,291.9700012207031
2025-03-06,286.04998779296875
2025-03-07,282.8900146484375
2025-03-10,272.8999938964844
2025-03-11,277.04998779296875
2025-03-12,284.5799865722656
2025-03-13,271.739990234375
2025-03-14,279.3999938964844
2025-03-17,280.75
2025-03-18,278.7300109863281
2025-03-19,279.3900146484375
2025-03-20,279.0299987792969
2025-03-21,280.6199951171875
2025-03-24,285.9599914550781
2025-03-25,288.6099853515625
2025-03-26,280.989990234375
2025-03-27,277.80999755859375
2025-03-28,269.9700012207031
