Date,AMGN
2025-01-02,259.2799987792969
2025-01-03,261.2200012207031
2025-01-06,258.5899963378906
2025-01-07,262.05999755859375
2025-01-08,264.2099914550781
2025-01-10,262.2300109863281
2025-01-13,270.19000244140625
2025-01-14,267.1000061035156
2025-01-15,268.94000244140625
2025-01-16,269.42999267578125
2025-01-17,272.1099853515625
2025-01-21,274.80999755859375
2025-01-22,273.44000244140625
2025-01-23,277.8800048828125
2025-01-24,275.4200134277344
2025-01-27,282.95001220703125
2025-01-28,280.29998779296875
2025-01-29,281.67999267578125
2025-01-30,284.0199890136719
2025-01-31,285.4200134277344
2025-02-03,288.8699951171875
2025-02-04,289.0199890136719
2025-02-05,307.80999755859375
2025-02-06,297.7799987792969
2025-02-07,293.5400085449219
2025-02-10,294.7900085449219
2025-02-11,296.6600036621094
2025-02-12,295.05999755859375
2025-02-13,296.9700012207031
2025-02-14,291.1600036621094
2025-02-18,292.79998779296875
2025-02-19,294.2699890136719
2025-02-20,297.92999267578125
2025-02-21,303.010009765625
2025-02-24,309.7200012207031
2025-02-25,315.6300048828125
2025-02-26,306.3800048828125
2025-02-27,305.82000732421875
2025-02-28,308.05999755859375
2025-03-03,310.7799987792969
2025-03-04,312.19000244140625
2025-03-05,316.57000732421875
2025-03-06,317.82000732421875
2025-03-07,324.8599853515625
2025-03-10,327.3599853515625
2025-03-11,318.8900146484375
2025-03-12,312.5
2025-03-13,312.6400146484375
2025-03-14,313.7099914550781
2025-03-17,317.1700134277344
2025-03-18,318.6499938964844
2025-03-19,315.75
2025-03-20,315.0400085449219
2025-03-21,316.0400085449219
2025-03-24,314.3800048828125
2025-03-25,306.8599853515625
2025-03-26,305.7099914550781
2025-03-27,305.7699890136719
2025-03-28,306.95001220703125
