Date,DIS
2025-01-02,110.81999969482422
2025-01-03,111.16000366210938
2025-01-06,111.05000305175781
2025-01-07,111.38999938964844
2025-01-08,109.76000213623047
2025-01-10,108.6500015258789
2025-01-13,108.08000183105469
2025-01-14,108.12000274658203
2025-01-15,108.18000030517578
2025-01-16,106.45999908447266
2025-01-17,107.0199966430664
2025-01-21,108.69999694824219
2025-01-22,108.80999755859375
2025-01-23,111.04000091552734
2025-01-24,112.16000366210938
2025-01-27,113.33999633789062
2025-01-28,112.13999938964844
2025-01-29,113.19000244140625
2025-01-30,113.43000030517578
2025-01-31,113.05999755859375
2025-02-03,114.0
2025-02-04,113.30000305175781
2025-02-05,110.54000091552734
2025-02-06,112.08999633789062
2025-02-07,110.86000061035156
2025-02-10,109.27999877929688
2025-02-11,109.0199966430664
2025-02-12,109.2300033569336
2025-02-13,109.58999633789062
2025-02-14,110.37999725341797
2025-02-18,109.55999755859375
2025-02-19,111.3499984741211
2025-02-20,110.55000305175781
2025-02-21,108.66000366210938
2025-02-24,111.19999694824219
2025-02-25,110.52999877929688
2025-02-26,111.83000183105469
2025-02-27,111.30999755859375
2025-02-28,113.80000305175781
2025-03-03,112.79000091552734
2025-03-04,109.01000213623047
2025-03-05,109.30999755859375
2025-03-06,105.43000030517578
2025-03-07,105.51000213623047
2025-03-10,103.08000183105469
2025-03-11,97.9000015258789
2025-03-12,98.76000213623047
2025-03-13,96.87000274658203
2025-03-14,98.63999938964844
2025-03-17,99.36000061035156
2025-03-18,99.3499984741211
2025-03-19,100.29000091552734
2025-03-20,98.86000061035156
2025-03-21,99.45999908447266
2025-03-24,100.18000030517578
2025-03-25,101.61000061035156
2025-03-26,100.77999877929688
2025-03-27,100.44999694824219
2025-03-28,98.06999969482422
