Date,IBM
2025-01-02,219.94000244140625
2025-01-03,222.64999389648438
2025-01-06,222.6699981689453
2025-01-07,223.9600067138672
2025-01-08,223.17999267578125
2025-01-10,219.75
2025-01-13,217.39999389648438
2025-01-14,217.75
2025-01-15,220.02999877929688
2025-01-16,222.66000366210938
2025-01-17,224.7899932861328
2025-01-21,224.25999450683594
2025-01-22,223.25999450683594
2025-01-23,226.0399932861328
2025-01-24,224.8000030517578
2025-01-27,224.1300048828125
2025-01-28,225.66000366210938
2025-01-29,228.6300048828125
2025-01-30,258.2699890136719
2025-01-31,255.6999969482422
2025-02-03,260.7300109863281
2025-02-04,264.4599914550781
2025-02-05,263.29998779296875
2025-02-06,253.44000244140625
2025-02-07,252.33999633789062
2025-02-10,249.27000427246094
2025-02-11,254.6999969482422
2025-02-12,255.80999755859375
2025-02-13,259.19000244140625
2025-02-14,261.2799987792969
2025-02-18,263.07000732421875
2025-02-19,264.32000732421875
2025-02-20,264.739990234375
2025-02-21,261.4800109863281
2025-02-24,261.8699951171875
2025-02-25,257.75
2025-02-26,255.83999633789062
2025-02-27,253.22999572753906
2025-02-28,252.44000244140625
2025-03-03,250.19000244140625
2025-03-04,253.2100067138672
2025-03-05,251.35000610351562
2025-03-06,248.69000244140625
2025-03-07,261.5400085449219
2025-03-10,256.8999938964844
2025-03-11,248.9499969482422
2025-03-12,249.6300048828125
2025-03-13,245.8000030517578
2025-03-14,248.35000610351562
2025-03-17,252.97000122070312
2025-03-18,246.9499969482422
2025-03-19,252.2899932861328
2025-03-20,243.32000732421875
2025-03-21,243.8699951171875
2025-03-24,248.4499969482422
2025-03-25,249.89999389648438
2025-03-26,250.33999633789062
2025-03-27,246.2100067138672
2025-03-28,244.0
