Date,HON
2025-01-02,225.52000427246094
2025-01-03,226.52000427246094
2025-01-06,221.74000549316406
2025-01-07,220.6300048828125
2025-01-08,220.1699981689453
2025-01-10,218.19000244140625
2025-01-13,219.10000610351562
2025-01-14,218.5
2025-01-15,219.5399932861328
2025-01-16,222.69000244140625
2025-01-17,222.5800018310547
2025-01-21,225.07000732421875
2025-01-22,223.08999633789062
2025-01-23,225.66000366210938
2025-01-24,221.50999450683594
2025-01-27,225.7100067138672
2025-01-28,220.6999969482422
2025-01-29,221.0500030517578
2025-01-30,224.05999755859375
2025-01-31,223.72000122070312
2025-02-03,222.41000366210938
2025-02-04,223.5500030517578
2025-02-05,222.35000610351562
2025-02-06,209.82000732421875
2025-02-07,205.52000427246094
2025-02-10,208.52000427246094
2025-02-11,206.94000244140625
2025-02-12,205.00999450683594
2025-02-13,205.27000427246094
2025-02-14,202.75
2025-02-18,208.0399932861328
2025-02-19,210.80999755859375
2025-02-20,211.35000610351562
2025-02-21,211.94000244140625
2025-02-24,209.91000366210938
2025-02-25,212.0
2025-02-26,211.3300018310547
2025-02-27,212.27000427246094
2025-02-28,212.88999938964844
2025-03-03,212.02000427246094
2025-03-04,208.0
2025-03-05,209.6199951171875
2025-03-06,211.25999450683594
2025-03-07,214.52000427246094
2025-03-10,213.82000732421875
2025-03-11,208.58999633789062
2025-03-12,206.35000610351562
2025-03-13,206.69000244140625
2025-03-14,209.47000122070312
2025-03-17,210.4199981689453
2025-03-18,209.74000549316406
2025-03-19,208.64999389648438
2025-03-20,210.88999938964844
2025-03-21,210.1199951171875
2025-03-24,211.85000610351562
2025-03-25,212.1199951171875
2025-03-26,213.1199951171875
2025-03-27,214.1699981689453
2025-03-28,210.33999633789062
