Date,UNH
2025-01-02,504.510009765625
2025-01-03,513.0
2025-01-06,513.6699829101562
2025-01-07,514.25
2025-01-08,524.52001953125
2025-01-10,520.6900024414062
2025-01-13,541.1400146484375
2025-01-14,543.739990234375
2025-01-15,543.4199829101562
2025-01-16,510.5899963378906
2025-01-17,509.760009765625
2025-01-21,524.989990234375
2025-01-22,519.719970703125
2025-01-23,529.77001953125
2025-01-24,532.510009765625
2025-01-27,543.52001953125
2025-01-28,542.47998046875
2025-01-29,538.0999755859375
2025-01-30,545.5700073242188
2025-01-31,542.489990234375
2025-02-03,548.1799926757812
2025-02-04,545.4500122070312
2025-02-05,539.8099975585938
2025-02-06,530.0399780273438
2025-02-07,527.030029296875
2025-02-10,533.3699951171875
2025-02-11,533.9199829101562
2025-02-12,527.4000244140625
2025-02-13,531.1799926757812
2025-02-14,523.510009765625
2025-02-18,500.7300109863281
2025-02-19,511.0400085449219
2025-02-20,502.4200134277344
2025-02-21,466.4200134277344
2025-02-24,461.5199890136719
2025-02-25,470.3800048828125
2025-02-26,463.5899963378906
2025-02-27,468.55999755859375
2025-02-28,474.9599914550781
2025-03-03,467.04998779296875
2025-03-04,474.6099853515625
2025-03-05,475.9800109863281
2025-03-06,487.7200012207031
2025-03-07,493.4800109863281
2025-03-10,480.2200012207031
2025-03-11,486.0400085449219
2025-03-12,481.1099853515625
2025-03-13,481.5199890136719
2025-03-14,488.6499938964844
2025-03-17,499.0199890136719
2025-03-18,503.79998779296875
2025-03-19,503.20001220703125
2025-03-20,511.29998779296875
2025-03-21,516.8499755859375
2025-03-24,516.5
2025-03-25,513.4299926757812
2025-03-26,518.2000122070312
2025-03-27,515.719970703125
2025-03-28,516.0399780273438
