Date,HD
2025-01-02,388.4599914550781
2025-01-03,389.17999267578125
2025-01-06,389.3699951171875
2025-01-07,384.2300109863281
2025-01-08,387.20001220703125
2025-01-10,389.8900146484375
2025-01-13,389.17999267578125
2025-01-14,392.7799987792969
2025-01-15,406.0899963378906
2025-01-16,409.3299865722656
2025-01-17,409.3800048828125
2025-01-21,418.42999267578125
2025-01-22,410.1000061035156
2025-01-23,414.3900146484375
2025-01-24,414.5
2025-01-27,424.8699951171875
2025-01-28,418.8299865722656
2025-01-29,413.4200134277344
2025-01-30,414.5
2025-01-31,411.9800109863281
2025-02-03,408.760009765625
2025-02-04,411.489990234375
2025-02-05,413.82000732421875
2025-02-06,414.1600036621094
2025-02-07,407.3699951171875
2025-02-10,413.989990234375
2025-02-11,416.3599853515625
2025-02-12,407.1400146484375
2025-02-13,412.42999267578125
2025-02-14,409.5
2025-02-18,403.30999755859375
2025-02-19,395.42999267578125
2025-02-20,394.6400146484375
2025-02-21,385.29998779296875
2025-02-24,382.4200134277344
2025-02-25,393.2900085449219
2025-02-26,390.4800109863281
2025-02-27,390.2699890136719
2025-02-28,396.6000061035156
2025-03-03,389.69000244140625
2025-03-04,381.67999267578125
2025-03-05,386.3500061035156
2025-03-06,381.7300109863281
2025-03-07,376.79998779296875
2025-03-10,374.6499938964844
2025-03-11,368.1600036621094
2025-03-12,364.7300109863281
2025-03-13,347.25
2025-03-14,351.30999755859375
2025-03-17,354.1300048828125
2025-03-18,349.57000732421875
2025-03-19,353.4200134277344
2025-03-20,355.5199890136719
2025-03-21,351.1499938964844
2025-03-24,363.7699890136719
2025-03-25,360.989990234375
2025-03-26,362.1300048828125
2025-03-27,362.7300109863281
2025-03-28,358.1499938964844
