Date,CSCO
2025-01-02,59.099998474121094
2025-01-03,58.86000061035156
2025-01-06,58.77000045776367
2025-01-07,58.93000030517578
2025-01-08,59.20000076293945
2025-01-10,58.7400016784668
2025-01-13,58.7599983215332
2025-01-14,59.33000183105469
2025-01-15,59.97999954223633
2025-01-16,59.81999969482422
2025-01-17,60.22999954223633
2025-01-21,61.029998779296875
2025-01-22,61.630001068115234
2025-01-23,62.22999954223633
2025-01-24,62.22999954223633
2025-01-27,59.08000183105469
2025-01-28,59.43000030517578
2025-01-29,59.54999923706055
2025-01-30,60.470001220703125
2025-01-31,60.599998474121094
2025-02-03,61.040000915527344
2025-02-04,61.34000015258789
2025-02-05,62.56999969482422
2025-02-06,62.27000045776367
2025-02-07,62.27000045776367
2025-02-10,62.810001373291016
2025-02-11,62.43000030517578
2025-02-12,62.529998779296875
2025-02-13,63.84000015258789
2025-02-14,64.87000274658203
2025-02-18,64.58999633789062
2025-02-19,64.83999633789062
2025-02-20,64.66999816894531
2025-02-21,63.97999954223633
2025-02-24,63.2400016784668
2025-02-25,64.2699966430664
2025-02-26,64.08000183105469
2025-02-27,63.810001373291016
2025-02-28,64.11000061035156
2025-03-03,63.47999954223633
2025-03-04,63.2599983215332
2025-03-05,63.959999084472656
2025-03-06,63.40999984741211
2025-03-07,63.939998626708984
2025-03-10,62.060001373291016
2025-03-11,60.66999816894531
2025-03-12,60.459999084472656
2025-03-13,59.66999816894531
2025-03-14,60.5
2025-03-17,60.88999938964844
2025-03-18,60.29999923706055
2025-03-19,61.119998931884766
2025-03-20,60.619998931884766
2025-03-21,60.29999923706055
2025-03-24,60.970001220703125
2025-03-25,60.9900016784668
2025-03-26,61.79999923706055
2025-03-27,61.400001525878906
2025-03-28,60.86000061035156
