Date,MSFT
2025-01-02,418.5799865722656
2025-01-03,423.3500061035156
2025-01-06,427.8500061035156
2025-01-07,422.3699951171875
2025-01-08,424.55999755859375
2025-01-10,418.95001220703125
2025-01-13,417.19000244140625
2025-01-14,415.6700134277344
2025-01-15,426.30999755859375
2025-01-16,424.5799865722656
2025-01-17,429.0299987792969
2025-01-21,428.5
2025-01-22,446.20001220703125
2025-01-23,446.7099914550781
2025-01-24,444.05999755859375
2025-01-27,434.55999755859375
2025-01-28,447.20001220703125
2025-01-29,442.3299865722656
2025-01-30,414.989990234375
2025-01-31,415.05999755859375
2025-02-03,410.9200134277344
2025-02-04,412.3699951171875
2025-02-05,413.2900085449219
2025-02-06,415.82000732421875
2025-02-07,409.75
2025-02-10,412.2200012207031
2025-02-11,411.44000244140625
2025-02-12,409.0400085449219
2025-02-13,410.5400085449219
2025-02-14,408.42999267578125
2025-02-18,409.6400146484375
2025-02-19,414.7699890136719
2025-02-20,416.1300048828125
2025-02-21,408.2099914550781
2025-02-24,404.0
2025-02-25,397.8999938964844
2025-02-26,399.7300109863281
2025-02-27,392.5299987792969
2025-02-28,396.989990234375
2025-03-03,388.489990234375
2025-03-04,388.6099853515625
2025-03-05,401.0199890136719
2025-03-06,396.8900146484375
2025-03-07,393.30999755859375
2025-03-10,380.1600036621094
2025-03-11,380.45001220703125
2025-03-12,383.2699890136719
2025-03-13,378.7699890136719
2025-03-14,388.55999755859375
2025-03-17,388.70001220703125
2025-03-18,383.5199890136719
2025-03-19,387.82000732421875
2025-03-20,386.8399963378906
2025-03-21,391.260009765625
2025-03-24,393.0799865722656
2025-03-25,395.1600036621094
2025-03-26,389.9700012207031
2025-03-27,390.5799865722656
2025-03-28,378.79998779296875
