Date,MCD
2025-01-02,292.510009765625
2025-01-03,294.7799987792969
2025-01-06,292.17999267578125
2025-01-07,289.3399963378906
2025-01-08,286.8999938964844
2025-01-10,282.30999755859375
2025-01-13,283.6300048828125
2025-01-14,281.5799865722656
2025-01-15,282.29998779296875
2025-01-16,279.739990234375
2025-01-17,280.95001220703125
2025-01-21,282.6099853515625
2025-01-22,281.3500061035156
2025-01-23,284.42999267578125
2025-01-24,285.4599914550781
2025-01-27,293.0899963378906
2025-01-28,291.1499938964844
2025-01-29,290.1099853515625
2025-01-30,290.32000732421875
2025-01-31,288.70001220703125
2025-02-03,290.04998779296875
2025-02-04,289.7699890136719
2025-02-05,288.8299865722656
2025-02-06,294.3599853515625
2025-02-07,294.29998779296875
2025-02-10,308.4200134277344
2025-02-11,310.2099914550781
2025-02-12,307.6000061035156
2025-02-13,310.0199890136719
2025-02-14,308.54998779296875
2025-02-18,304.8299865722656
2025-02-19,301.94000244140625
2025-02-20,303.04998779296875
2025-02-21,304.80999755859375
2025-02-24,307.57000732421875
2025-02-25,310.7200012207031
2025-02-26,304.2699890136719
2025-02-27,309.95001220703125
2025-02-28,308.3299865722656
2025-03-03,304.2900085449219
2025-03-04,305.7699890136719
2025-03-05,307.45001220703125
2025-03-06,310.3699951171875
2025-03-07,321.2900085449219
2025-03-10,317.25
2025-03-11,306.760009765625
2025-03-12,299.3999938964844
2025-03-13,297.5
2025-03-14,299.8299865722656
2025-03-17,303.9700012207031
2025-03-18,303.6000061035156
2025-03-19,306.9200134277344
2025-03-20,307.0
2025-03-21,305.44000244140625
2025-03-24,305.6700134277344
2025-03-25,306.9200134277344
2025-03-26,313.5799865722656
2025-03-27,312.69000244140625
2025-03-28,307.0899963378906
